card_id,customer_id,card_type,credit_limit,issue_date
117,36612,Silver,75000,2024-12-05
118,10549,Silver,50000,2023-07-21
119,2391,Silver,100000,2024-03-23
120,30337,Gold,300000,2023-08-09
121,44296,Platinum,300000,2024-11-14
122,24836,Platinum,300000,2024-09-06
123,12109,Gold,100000,2023-10-24
124,30604,Gold,300000,2024-02-22
125,606,Gold,200000,2023-10-11
126,12133,Silver,100000,2024-06-04
127,29179,Silver,50000,2024-04-11
128,21676,Gold,100000,2023-10-29
129,40210,Gold,150000,2023-04-30
130,41137,Silver,75000,2023-12-01
131,25741,Silver,75000,2023-08-28
132,31137,Silver,50000,2023-11-17
133,15177,Platinum,500000,2024-05-27
134,1303,Gold,200000,2023-10-09
135,27904,Silver,150000,2023-11-09
136,34716,Silver,50000,2024-09-28
137,8574,Gold,300000,2023-06-19
138,39149,Gold,300000,2024-02-07
139,24831,Platinum,750000,2023-10-27
140,11114,Gold,200000,2024-05-21
141,21452,Gold,150000,2024-07-12
142,27715,Gold,200000,2023-10-03
143,10539,Silver,75000,2024-06-30
144,45470,Gold,300000,2023-12-26
145,42560,Silver,75000,2024-01-13
146,1788,Platinum,750000,2024-02-14
147,32587,Silver,50000,2023-09-17
148,39360,Silver,75000,2023-11-22
149,5819,Gold,300000,2024-04-01
150,40006,Silver,150000,2023-05-01
151,41,Silver,100000,2024-03-13
152,44399,Gold,150000,2023-06-08
153,12257,Gold,300000,2023-08-26
154,47567,Platinum,500000,2024-05-20
155,48865,Gold,150000,2023-11-07
156,13221,Gold,150000,2023-12-17
157,34948,Gold,150000,2023-06-06
158,13443,Silver,75000,2024-07-31
159,41402,Silver,100000,2024-02-02
160,38313,Gold,300000,2024-01-31
161,10772,Gold,100000,2024-06-22
162,31095,Gold,150000,2024-08-13
163,10696,Gold,300000,2023-06-04
164,10004,Gold,150000,2023-10-29
165,16225,Gold,150000,2023-07-07
166,15210,Silver,150000,2023-10-15
167,18358,Silver,150000,2023-11-13
168,32861,Gold,150000,2023-08-25
169,36638,Gold,300000,2024-10-08
170,30885,Silver,50000,2023-08-01
171,17930,Platinum,500000,2023-09-04
172,41587,Silver,50000,2024-07-06
173,40834,Gold,100000,2023-05-21
174,20005,Platinum,300000,2024-08-20
175,19952,Silver,100000,2023-10-16
176,31732,Silver,50000,2024-02-26
177,41588,Gold,100000,2023-08-30
178,43310,Gold,150000,2023-10-15
179,13882,Silver,100000,2023-04-20
180,36707,Gold,200000,2024-02-27
181,43327,Silver,100000,2023-12-29
182,47373,Gold,100000,2023-10-26
183,21868,Silver,75000,2024-03-23
184,1277,Gold,300000,2023-10-24
185,23787,Silver,75000,2023-10-23
186,42616,Silver,100000,2023-05-15
187,31451,Silver,150000,2023-02-24
188,26068,Silver,100000,2023-08-08
189,21663,Business,500000,2024-01-09
190,48491,Platinum,300000,2024-08-24
191,48091,Gold,200000,2023-12-10
192,42393,Gold,200000,2023-08-30
193,4841,Gold,300000,2024-07-17
194,12851,Silver,75000,2023-08-08
195,33834,Gold,100000,2023-04-22
196,36701,Silver,75000,2023-08-01
197,49371,Gold,150000,2024-11-26
198,34637,Silver,150000,2023-09-14
199,35708,Silver,50000,2024-12-04
200,45062,Gold,100000,2024-09-15
201,46633,Silver,100000,2023-10-23
202,22139,Gold,200000,2023-06-15
203,32267,Silver,100000,2024-06-19
204,36900,Silver,50000,2024-04-15
205,24317,Gold,150000,2023-05-09
206,25689,Silver,150000,2023-09-15
207,38838,Platinum,300000,2024-04-11
208,18351,Gold,200000,2023-12-16
209,46195,Business,500000,2023-07-29
210,31481,Silver,150000,2024-03-26
211,40717,Silver,75000,2023-12-08
212,35133,Platinum,300000,2023-03-27
213,13507,Silver,150000,2024-05-13
214,43959,Silver,50000,2024-05-25
215,12415,Silver,75000,2023-08-23
216,20133,Silver,50000,2023-09-14
217,31871,Platinum,750000,2023-10-21
218,15420,Silver,150000,2024-06-17
219,47129,Platinum,500000,2024-03-18
220,23586,Platinum,300000,2023-10-18
221,2080,Silver,75000,2023-08-03
222,32996,Gold,150000,2023-03-11
223,49845,Gold,300000,2023-12-15
224,32825,Gold,200000,2024-01-01
225,28223,Gold,150000,2024-02-25
226,49504,Silver,150000,2024-10-03
227,13708,Business,750000,2023-02-03
228,2430,Silver,50000,2024-03-14
229,5023,Silver,100000,2024-01-04
230,19817,Silver,50000,2023-08-20
231,43646,Gold,200000,2023-09-06
232,23670,Platinum,500000,2024-11-03
233,11783,Gold,300000,2023-08-26
234,3802,Silver,100000,2023-05-09
235,18682,Silver,100000,2024-02-09
236,6551,Platinum,500000,2024-05-11
237,36608,Silver,150000,2024-02-25
238,37336,Gold,300000,2023-11-09
239,5331,Silver,50000,2024-03-01
240,5868,Platinum,300000,2024-02-13
241,3834,Platinum,300000,2023-08-21
242,26188,Silver,100000,2023-06-14
243,8420,Platinum,500000,2023-08-07
244,45259,Silver,50000,2024-05-19
245,1980,Silver,75000,2023-09-07
246,41582,Gold,200000,2023-10-05
247,27047,Gold,100000,2024-06-04
248,21060,Silver,50000,2024-03-05
249,15354,Silver,100000,2024-06-22
250,49660,Silver,150000,2023-05-11
251,3718,Gold,200000,2024-03-03
252,6204,Silver,150000,2023-03-29
253,40312,Gold,200000,2023-12-03
254,27498,Gold,150000,2024-10-29
255,21910,Silver,150000,2024-07-11
256,6870,Silver,100000,2024-03-11
257,18913,Silver,75000,2024-07-13
258,13171,Silver,150000,2023-10-06
259,20889,Silver,150000,2024-01-22
260,18919,Silver,100000,2023-12-29
261,43276,Silver,100000,2023-09-04
262,41845,Silver,50000,2023-08-15
263,45341,Silver,50000,2024-07-17
264,31609,Silver,150000,2023-03-22
265,33263,Silver,100000,2024-04-07
266,18311,Gold,100000,2024-06-16
267,47363,Platinum,750000,2023-07-23
268,12823,Silver,75000,2023-12-30
269,34411,Silver,75000,2023-04-24
270,46181,Silver,150000,2023-11-07
271,8163,Silver,100000,2024-01-31
272,39483,Gold,100000,2023-03-03
273,8848,Gold,200000,2023-11-26
274,20518,Gold,300000,2023-09-26
275,21704,Gold,100000,2023-01-19
276,6707,Silver,50000,2023-03-06
277,30122,Gold,100000,2023-07-04
278,45080,Platinum,750000,2024-03-23
279,5793,Silver,50000,2023-06-14
280,27371,Silver,75000,2023-09-28
281,23942,Gold,100000,2023-11-29
282,29394,Silver,50000,2024-02-18
283,35548,Platinum,750000,2023-07-10
284,4726,Silver,75000,2024-04-05
285,2831,Platinum,300000,2023-02-16
286,45675,Gold,100000,2024-05-15
287,37957,Silver,50000,2023-03-13
288,14756,Gold,300000,2024-08-26
289,47977,Gold,150000,2024-04-11
290,9084,Silver,75000,2023-10-17
291,519,Silver,100000,2023-04-22
292,19529,Gold,100000,2023-09-02
293,21179,Gold,200000,2023-05-20
294,26732,Platinum,750000,2023-10-10
295,14490,Silver,150000,2023-11-29
296,38817,Silver,75000,2024-02-27
297,16260,Silver,100000,2023-06-28
298,2072,Gold,100000,2024-07-24
299,27945,Gold,200000,2023-12-14
300,42287,Silver,75000,2023-08-28
301,14450,Platinum,500000,2023-09-24
302,25810,Silver,150000,2023-09-09
303,8938,Silver,150000,2023-10-12
304,22261,Silver,50000,2023-12-13
305,5070,Gold,150000,2023-06-09
306,4585,Silver,100000,2024-07-31
307,17113,Silver,75000,2024-07-22
308,12008,Gold,300000,2023-08-30
309,9079,Silver,100000,2024-12-04
310,24925,Silver,75000,2023-10-29
311,25855,Silver,75000,2023-10-27
312,44928,Silver,75000,2024-06-24
313,40452,Gold,150000,2024-12-10
314,24665,Business,750000,2024-02-03
315,9815,Business,1000000,2024-03-07
316,23837,Silver,100000,2023-08-23
317,11730,Silver,50000,2024-02-21
318,33727,Silver,50000,2024-03-16
319,27018,Business,1000000,2024-12-12
320,22416,Platinum,300000,2024-06-06
321,33066,Business,500000,2023-04-01
322,47078,Silver,50000,2023-11-08
323,14956,Platinum,300000,2023-06-01
324,7288,Gold,150000,2023-08-13
325,46448,Gold,200000,2024-07-13
326,31694,Gold,200000,2024-05-16
327,37312,Gold,100000,2023-05-26
328,7861,Gold,300000,2024-07-03
329,24761,Silver,75000,2024-08-21
330,41863,Gold,100000,2024-05-17
331,49417,Gold,300000,2023-03-31
332,4456,Gold,200000,2024-01-18
333,34912,Silver,150000,2024-01-20
334,17137,Silver,75000,2024-05-04
335,21294,Silver,150000,2024-08-14
336,9824,Silver,75000,2023-09-17
337,37478,Gold,100000,2023-12-14
338,42816,Gold,100000,2024-10-26
339,17977,Gold,150000,2023-06-04
340,694,Silver,50000,2024-05-11
341,49345,Platinum,750000,2024-06-03
342,9840,Silver,100000,2023-02-27
343,48117,Gold,150000,2023-09-03
344,49770,Gold,150000,2023-05-16
345,13426,Silver,75000,2024-07-13
346,15985,Platinum,750000,2023-04-06
347,14983,Platinum,500000,2024-05-06
348,31015,Gold,300000,2024-06-29
349,27587,Silver,50000,2023-03-18
350,43562,Silver,100000,2023-11-11
351,12427,Silver,100000,2024-07-20
352,12952,Silver,100000,2023-06-25
353,48076,Silver,50000,2023-10-09
354,12298,Gold,100000,2023-07-09
355,29579,Platinum,750000,2023-08-29
356,17149,Gold,150000,2023-08-18
357,49033,Business,500000,2023-06-13
358,32277,Gold,300000,2023-11-07
359,30166,Gold,100000,2023-05-18
360,11097,Business,1000000,2023-10-09
361,32745,Gold,150000,2023-09-25
362,45737,Silver,75000,2023-11-26
363,30939,Silver,75000,2024-09-23
364,19617,Silver,100000,2024-11-04
365,8137,Gold,100000,2024-05-19
366,15634,Gold,200000,2024-11-05
367,19353,Silver,150000,2024-05-03
368,15270,Gold,150000,2024-07-03
369,26762,Silver,75000,2024-05-21
370,36031,Gold,100000,2024-05-03
371,7658,Business,1000000,2024-08-10
372,6656,Silver,75000,2024-09-10
373,7155,Gold,150000,2024-06-25
374,20167,Platinum,500000,2024-06-24
375,36163,Silver,100000,2023-10-16
376,12433,Silver,75000,2024-07-31
377,40925,Silver,100000,2024-02-21
378,5932,Business,1000000,2023-03-10
379,867,Silver,150000,2023-04-08
380,47486,Silver,150000,2023-09-14
381,48409,Silver,150000,2024-01-23
382,45268,Silver,150000,2024-05-07
383,37530,Platinum,500000,2024-01-04
384,7758,Platinum,750000,2024-04-24
385,14139,Platinum,300000,2023-03-24
386,16169,Silver,75000,2024-03-10
387,6485,Silver,50000,2024-04-21
388,12171,Silver,100000,2024-11-04
389,26012,Gold,200000,2023-07-15
390,15832,Gold,200000,2024-02-27
391,39160,Silver,75000,2024-03-13
392,40200,Silver,150000,2024-04-21
393,47258,Silver,75000,2024-06-14
394,7300,Silver,100000,2024-03-14
395,27953,Business,500000,2023-05-08
396,25894,Platinum,750000,2024-04-11
397,17872,Platinum,500000,2024-05-01
398,3383,Gold,150000,2023-09-22
399,2747,Silver,75000,2023-08-13
400,19889,Gold,150000,2024-03-28
401,41402,Gold,200000,2024-05-30
402,5302,Gold,100000,2023-05-20
403,7963,Gold,100000,2023-05-10
404,18228,Gold,300000,2024-02-03
405,28268,Gold,200000,2024-02-06
406,24771,Gold,200000,2024-04-15
407,46730,Silver,150000,2024-04-19
408,28464,Platinum,500000,2024-01-15
409,10601,Silver,75000,2023-04-27
410,22066,Platinum,750000,2023-06-02
411,47036,Gold,100000,2024-02-06
412,37269,Gold,300000,2023-11-09
413,163,Silver,150000,2023-07-13
414,42890,Silver,75000,2023-07-21
415,21758,Gold,100000,2024-05-26
416,48065,Silver,150000,2023-03-04
417,47873,Silver,75000,2024-05-10
418,32855,Gold,150000,2023-07-07
419,31847,Gold,300000,2023-05-21
420,12719,Gold,150000,2023-06-29
421,33793,Platinum,750000,2024-05-14
422,43165,Business,1000000,2024-07-04
423,32621,Business,500000,2024-05-23
424,5140,Gold,100000,2023-06-27
425,16576,Gold,200000,2023-11-21
426,18170,Silver,50000,2023-04-25
427,49028,Platinum,500000,2024-07-31
428,5260,Gold,150000,2023-07-13
429,11861,Gold,200000,2023-03-28
430,36049,Silver,75000,2024-08-15
431,9502,Silver,100000,2023-12-30
432,9012,Silver,150000,2024-04-30
433,27200,Silver,75000,2023-06-12
434,45763,Gold,300000,2023-12-20
435,16065,Gold,150000,2023-12-29
436,11997,Silver,75000,2023-05-08
437,46602,Gold,150000,2023-12-03
438,39814,Silver,75000,2024-08-03
439,9605,Gold,100000,2024-04-30
440,14622,Silver,150000,2023-10-06
441,37630,Platinum,750000,2024-10-20
442,12219,Silver,75000,2023-06-14
443,15697,Silver,100000,2023-05-06
444,9075,Silver,150000,2023-04-16
445,15395,Platinum,750000,2023-10-05
446,7865,Silver,75000,2023-10-29
447,37614,Gold,100000,2023-11-30
448,41193,Business,750000,2024-01-07
449,12280,Business,500000,2023-06-16
450,47080,Silver,150000,2024-08-05
451,3931,Platinum,500000,2023-09-08
452,14950,Silver,100000,2023-06-09
453,5076,Platinum,500000,2023-06-10
454,44009,Silver,50000,2023-04-16
455,2348,Platinum,750000,2023-11-28
456,19144,Silver,75000,2024-04-30
457,31995,Gold,300000,2023-12-02
458,47944,Silver,50000,2023-05-21
459,33103,Gold,150000,2024-02-14
460,27859,Business,500000,2024-06-17
461,43468,Silver,50000,2023-07-23
462,17802,Silver,100000,2024-08-27
463,36003,Gold,200000,2024-09-24
464,14653,Silver,75000,2024-01-02
465,39423,Gold,300000,2024-08-07
466,6835,Silver,150000,2023-05-15
467,7760,Platinum,750000,2024-05-31
468,16222,Silver,75000,2024-06-20
469,47833,Silver,100000,2023-08-27
470,7986,Silver,50000,2024-01-15
471,17943,Gold,200000,2024-05-06
472,33136,Gold,100000,2023-09-08
473,36607,Silver,50000,2023-02-26
474,25838,Silver,50000,2024-10-05
475,22473,Platinum,500000,2023-09-07
476,20814,Gold,300000,2023-07-24
477,1433,Platinum,500000,2024-07-22
478,26826,Silver,150000,2024-05-03
479,45008,Gold,150000,2024-09-29
480,21831,Business,500000,2024-02-03
481,6354,Business,1000000,2024-06-02
482,8456,Silver,75000,2023-04-15
483,12220,Platinum,300000,2023-05-22
484,10168,Gold,100000,2023-07-01
485,5178,Gold,150000,2023-08-17
486,45212,Silver,150000,2024-04-17
487,29814,Platinum,500000,2023-04-25
488,42306,Silver,75000,2024-09-23
489,20296,Silver,100000,2024-08-17
490,47074,Gold,100000,2024-03-31
491,5990,Silver,100000,2024-08-02
492,41364,Gold,300000,2023-11-18
493,42434,Platinum,300000,2023-09-14
494,25401,Gold,150000,2024-07-01
495,3436,Silver,50000,2024-03-22
496,21952,Business,750000,2024-01-19
497,16771,Silver,150000,2023-07-14
498,40051,Platinum,750000,2024-01-11
499,12409,Silver,50000,2024-04-20
500,18708,Silver,150000,2023-10-08
501,27307,Business,500000,2024-04-30
502,29733,Platinum,300000,2023-03-14
503,33016,Business,750000,2023-09-16
504,12648,Silver,100000,2024-07-09
505,36491,Silver,100000,2023-11-22
506,24157,Business,750000,2024-04-22
507,17446,Silver,50000,2023-06-27
508,34108,Silver,100000,2023-11-16
509,18855,Platinum,300000,2023-08-25
510,19958,Silver,50000,2023-04-05
511,15716,Gold,150000,2023-10-29
512,26639,Silver,50000,2024-02-25
513,15171,Gold,200000,2023-12-02
514,47360,Platinum,300000,2024-03-25
515,2666,Gold,150000,2023-08-07
516,43574,Gold,100000,2024-01-31
517,21325,Gold,100000,2023-09-04
518,29270,Silver,75000,2023-03-20
519,30346,Gold,100000,2023-05-14
520,45524,Gold,150000,2024-07-20
521,42771,Platinum,300000,2024-09-29
522,27765,Platinum,500000,2024-04-22
523,14328,Silver,150000,2024-05-09
524,9303,Gold,150000,2024-07-20
525,34527,Gold,300000,2024-02-29
526,8180,Gold,200000,2023-04-22
527,24563,Gold,100000,2024-09-24
528,24933,Silver,100000,2023-09-15
529,25709,Silver,150000,2023-07-18
530,45948,Gold,150000,2023-02-07
531,43424,Silver,75000,2024-01-19
532,8229,Silver,150000,2023-08-09
533,1817,Gold,200000,2023-10-18
534,41684,Gold,200000,2024-04-22
535,29309,Gold,300000,2024-02-17
536,8695,Gold,300000,2023-12-08
537,5274,Silver,50000,2023-02-13
538,26702,Silver,150000,2023-03-27
539,22437,Gold,150000,2024-03-21
540,42131,Platinum,300000,2023-05-07
541,19145,Gold,100000,2024-02-05
542,26495,Gold,200000,2023-06-17
543,7406,Silver,100000,2023-06-01
544,27350,Platinum,750000,2024-08-13
545,49787,Silver,75000,2024-06-27
546,5234,Gold,150000,2023-04-25
547,38624,Silver,75000,2023-06-18
548,13396,Platinum,500000,2023-11-08
549,29029,Silver,50000,2024-07-07
550,34744,Platinum,300000,2024-06-13
551,26958,Gold,200000,2024-01-07
552,49821,Business,750000,2023-11-25
553,35422,Silver,75000,2024-09-23
554,34773,Platinum,300000,2024-08-23
555,25347,Silver,50000,2024-05-31
556,40744,Platinum,750000,2023-04-13
557,5594,Gold,100000,2023-10-25
558,14148,Gold,200000,2023-08-04
559,40262,Silver,50000,2024-01-22
560,13604,Gold,100000,2023-05-07
561,15384,Silver,75000,2024-04-17
562,15115,Silver,100000,2024-08-29
563,30203,Silver,50000,2023-08-13
564,44161,Gold,300000,2023-10-05
565,42012,Gold,300000,2024-09-05
566,13456,Silver,150000,2024-03-21
567,2581,Silver,75000,2024-06-29
568,38631,Gold,150000,2023-04-20
569,47496,Gold,300000,2024-07-22
570,15068,Silver,75000,2023-07-14
571,15552,Platinum,750000,2024-02-23
572,10906,Gold,300000,2024-02-02
573,35361,Silver,100000,2024-04-26
574,47659,Gold,300000,2024-04-11
575,31932,Gold,150000,2024-01-12
576,45237,Gold,200000,2023-07-22
577,43321,Silver,75000,2023-10-08
578,27576,Platinum,500000,2023-06-02
579,11720,Silver,150000,2023-05-15
580,13227,Silver,75000,2024-04-22
581,24284,Gold,100000,2024-02-03
582,6445,Gold,100000,2024-09-03
583,21308,Platinum,500000,2024-07-28
584,18153,Gold,150000,2024-04-23
585,43933,Business,1000000,2023-07-02
586,26281,Silver,150000,2024-04-13
587,36779,Platinum,300000,2024-06-30
588,20008,Gold,150000,2023-08-30
589,2547,Business,500000,2023-12-28
590,32384,Silver,150000,2023-08-21
591,27009,Gold,150000,2024-03-11
592,5422,Silver,150000,2023-11-15
593,12223,Gold,300000,2023-08-29
594,3878,Platinum,500000,2024-08-12
595,42742,Gold,300000,2024-04-01
596,29502,Gold,200000,2023-07-15
597,48631,Silver,150000,2024-07-14
598,9697,Silver,100000,2023-02-13
599,35178,Platinum,500000,2024-07-07
600,21143,Silver,100000,2024-04-15
601,30127,Silver,100000,2023-12-03
602,9013,Silver,75000,2023-10-08
603,18656,Platinum,300000,2024-03-26
604,37421,Silver,150000,2023-06-20
605,34752,Platinum,300000,2023-09-01
606,47527,Silver,150000,2023-11-08
607,24021,Silver,50000,2023-11-28
608,31190,Silver,150000,2023-06-13
609,22131,Gold,200000,2023-09-16
610,30686,Gold,150000,2024-10-24
611,32485,Gold,150000,2024-04-28
612,29645,Silver,100000,2024-01-12
613,39896,Silver,50000,2023-07-06
614,9283,Silver,75000,2024-06-01
615,34678,Silver,150000,2023-03-28
616,33037,Silver,150000,2023-11-29
617,1916,Gold,150000,2024-02-15
618,11607,Gold,150000,2024-01-26
619,14655,Gold,300000,2024-04-16
620,46519,Platinum,500000,2024-01-25
621,18613,Gold,150000,2023-04-23
622,15373,Gold,200000,2024-07-10
623,9151,Silver,150000,2024-02-09
624,49203,Gold,100000,2023-08-09
625,22706,Silver,50000,2024-10-13
626,18169,Silver,50000,2023-12-01
627,45270,Silver,100000,2023-01-20
628,19452,Gold,100000,2023-12-20
629,22667,Silver,100000,2023-10-10
630,18231,Platinum,300000,2024-01-17
631,48481,Silver,75000,2023-06-09
632,27576,Silver,50000,2023-07-12
633,11409,Platinum,750000,2023-08-10
634,28415,Gold,200000,2023-12-25
635,34239,Gold,100000,2023-03-26
636,17921,Silver,75000,2024-03-20
637,45946,Silver,50000,2024-07-23
638,38685,Silver,100000,2023-05-25
639,45932,Silver,50000,2023-11-03
640,12437,Silver,100000,2023-10-03
641,20038,Silver,75000,2024-05-14
642,11226,Gold,150000,2023-10-12
643,39449,Silver,100000,2023-05-13
644,44412,Gold,100000,2024-02-06
645,37606,Platinum,750000,2024-08-08
646,10518,Silver,50000,2024-06-20
647,37886,Gold,300000,2024-05-16
648,621,Business,500000,2023-09-23
649,19095,Silver,100000,2023-11-24
650,41086,Gold,300000,2023-09-26
651,21187,Silver,150000,2024-02-29
652,1606,Silver,100000,2024-07-10
653,48594,Silver,50000,2024-03-17
654,18234,Gold,100000,2023-12-11
655,24707,Silver,50000,2023-06-21
656,28823,Silver,100000,2023-05-21
657,12521,Silver,150000,2023-12-26
658,34463,Platinum,300000,2023-12-23
659,4230,Gold,100000,2023-08-26
660,19779,Silver,100000,2023-12-10
661,279,Silver,75000,2023-12-06
662,33176,Silver,150000,2023-08-16
663,35720,Platinum,300000,2024-03-20
664,30084,Silver,50000,2024-02-12
665,12625,Silver,100000,2023-04-14
666,49813,Gold,200000,2024-07-11
667,40114,Gold,150000,2023-06-18
668,42019,Gold,150000,2024-03-29
669,25020,Silver,150000,2023-07-08
670,29121,Silver,75000,2023-07-31
671,45703,Gold,200000,2024-04-20
672,27825,Gold,200000,2024-03-16
673,6703,Silver,150000,2023-11-16
674,12212,Gold,150000,2024-01-01
675,37715,Silver,150000,2024-01-30
676,2131,Platinum,750000,2023-06-04
677,1000,Platinum,500000,2024-01-17
678,49504,Silver,50000,2024-09-03
679,47047,Silver,150000,2023-10-18
680,838,Platinum,300000,2023-10-12
681,12852,Silver,100000,2024-06-04
682,19527,Gold,200000,2023-09-17
683,24459,Gold,300000,2024-01-10
684,48032,Gold,100000,2024-07-27
685,27924,Business,750000,2023-12-07
686,2964,Platinum,750000,2023-05-09
687,47839,Platinum,300000,2024-04-09
688,24534,Gold,200000,2023-12-23
689,46121,Silver,75000,2023-11-30
690,35967,Gold,300000,2024-03-07
691,12175,Business,1000000,2023-12-16
692,35292,Platinum,750000,2024-06-23
693,25315,Silver,50000,2023-09-07
694,1375,Gold,150000,2023-12-27
695,25672,Silver,150000,2024-05-21
696,5244,Gold,100000,2024-03-10
697,3423,Gold,300000,2024-04-05
698,31259,Silver,75000,2023-03-04
699,42408,Gold,200000,2023-06-01
700,3579,Gold,200000,2023-04-30
701,22106,Silver,50000,2023-02-10
702,34820,Gold,200000,2024-04-07
703,23474,Gold,150000,2024-05-15
704,7039,Silver,75000,2023-10-18
705,3957,Gold,300000,2024-01-12
706,8896,Silver,50000,2023-06-13
707,15781,Platinum,500000,2023-04-01
708,21836,Silver,150000,2024-06-09
709,12707,Gold,150000,2023-10-13
710,11233,Platinum,300000,2023-02-04
711,19716,Gold,100000,2023-06-25
712,1555,Silver,50000,2023-12-17
713,15971,Gold,200000,2024-10-20
714,41047,Silver,150000,2023-03-19
715,49581,Silver,100000,2024-05-27
716,9710,Gold,100000,2024-01-04
717,29550,Gold,200000,2024-01-12
718,41836,Platinum,300000,2024-01-29
719,2203,Silver,75000,2023-05-04
720,37438,Silver,100000,2023-04-19
721,26493,Silver,150000,2024-07-12
722,32857,Gold,300000,2024-07-20
723,23712,Gold,150000,2024-06-30
724,49445,Platinum,500000,2024-05-10
725,32539,Business,1000000,2024-01-27
726,10122,Gold,150000,2024-05-09
727,12177,Gold,150000,2023-10-25
728,27311,Platinum,750000,2024-04-06
729,48386,Silver,75000,2023-09-23
730,3598,Silver,150000,2023-08-01
