merchant_id,merchant_name,category
83,Quick Store,Fashion
84,Prime Mart,Entertainment
85,Elite Store,Dining
86,Quick Store,Entertainment
87,Metro Fuel,Fuel
88,Urban Mart,Healthcare
89,Urban Store,Dining
90,Elite Fuel,Travel
91,Metro Cafe,Electronics
92,Prime Mart,Travel
93,Urban Mart,E-commerce
94,Urban Fuel,Grocery
95,Metro Fuel,Electronics
96,Metro Mart,Electronics
97,Elite Store,Dining
98,Quick Hub,Electronics
99,Elite Fuel,Grocery
100,Quick Cafe,Travel
101,Metro Mart,Fashion
102,Quick Fuel,E-commerce
103,Metro Store,Utilities
104,Elite Cafe,Fuel
105,Quick Hub,Healthcare
106,Elite Store,E-commerce
107,Prime Fuel,Fuel
108,Prime Cafe,Fuel
109,Elite Store,Utilities
110,Metro Cafe,Fuel
111,Urban Fuel,Fashion
112,Quick Hub,Dining
113,Metro Cafe,Fuel
114,Urban Hub,Travel
115,Urban Store,Travel
116,Elite Fuel,Healthcare
117,Quick Mart,E-commerce
118,Urban Fuel,Fashion
119,Metro Mart,E-commerce
120,Quick Fuel,Electronics
121,Metro Cafe,E-commerce
122,Urban Fuel,Dining
123,Quick Mart,Entertainment
124,Metro Store,Utilities
125,Elite Hub,Entertainment
126,Prime Cafe,Healthcare
127,Quick Store,Fashion
128,Quick Cafe,Entertainment
129,Metro Cafe,Grocery
130,Quick Hub,Dining
131,Urban Hub,Utilities
132,Urban Fuel,Fashion
133,Quick Mart,Grocery
134,Metro Hub,Travel
135,Metro Cafe,Utilities
136,Quick Fuel,Grocery
137,Urban Mart,Dining
138,Urban Fuel,Entertainment
139,Elite Cafe,Utilities
140,Metro Fuel,Grocery
141,Prime Fuel,Entertainment
142,Urban Mart,Utilities
143,Elite Store,Healthcare
144,Quick Cafe,Fashion
145,Urban Fuel,Dining
146,Metro Store,Electronics
147,Quick Fuel,E-commerce
148,Metro Store,Grocery
149,Prime Hub,Fuel
150,Metro Store,Utilities
151,Metro Store,Electronics
152,Elite Mart,Electronics
153,Prime Store,E-commerce
154,Quick Fuel,E-commerce
155,Prime Hub,Travel
156,Metro Hub,E-commerce
157,Metro Hub,Grocery
158,Urban Cafe,Dining
159,Urban Mart,Grocery
160,Quick Cafe,Dining
161,Quick Fuel,E-commerce
162,Prime Cafe,Electronics
163,Prime Fuel,Healthcare
164,Elite Fuel,Utilities
165,Prime Store,Grocery
166,Elite Store,Fashion
167,Prime Store,Fashion
168,Prime Fuel,Entertainment
169,Metro Cafe,Dining
170,Urban Cafe,Fashion
171,Prime Fuel,Healthcare
172,Elite Hub,Utilities
173,Elite Hub,Utilities
174,Urban Cafe,Dining
175,Urban Mart,Grocery
176,Elite Mart,Entertainment
177,Metro Mart,Healthcare
178,Elite Store,Electronics
179,Quick Cafe,Fuel
180,Metro Store,E-commerce
181,Urban Hub,Electronics
182,Prime Cafe,Dining
183,Metro Mart,Utilities
184,Quick Hub,Travel
185,Elite Store,Utilities
186,Quick Cafe,Fuel
187,Prime Fuel,Fashion
188,Urban Store,Grocery
189,Quick Cafe,Utilities
190,Elite Cafe,Dining
191,Urban Hub,Utilities
192,Urban Hub,Electronics
193,Quick Mart,Travel
194,Urban Cafe,Grocery
195,Elite Store,Travel
196,Quick Hub,Fuel
197,Metro Fuel,E-commerce
198,Prime Cafe,E-commerce
199,Metro Store,Utilities
200,Urban Store,Electronics
201,Urban Store,Fashion
202,Prime Hub,Entertainment
203,Urban Hub,E-commerce
204,Quick Store,E-commerce
205,Prime Store,Grocery
206,Prime Store,Fuel
207,Urban Fuel,Dining
208,Urban Cafe,Utilities
209,Prime Mart,Healthcare
210,Metro Mart,Travel
211,Metro Store,Electronics
212,Urban Store,Healthcare
213,Quick Mart,Fuel
214,Metro Hub,E-commerce
215,Metro Store,Fashion
216,Urban Fuel,Dining
217,Quick Store,Utilities
218,Urban Mart,Dining
219,Prime Hub,Fuel
220,Prime Mart,Dining
221,Elite Store,Fashion
222,Urban Store,Fuel
223,Metro Hub,Grocery
224,Prime Cafe,Dining
225,Urban Hub,Travel
226,Elite Fuel,Healthcare
227,Elite Fuel,Grocery
228,Urban Fuel,Fuel
229,Urban Store,E-commerce
230,Quick Hub,Fashion
231,Prime Fuel,Fashion
232,Elite Mart,Travel
233,Urban Fuel,Fuel
234,Metro Mart,Fashion
235,Metro Hub,Healthcare
236,Elite Store,Fuel
237,Prime Store,Electronics
238,Prime Hub,Electronics
239,Elite Hub,Entertainment
240,Elite Mart,Grocery
241,Urban Mart,Healthcare
242,Prime Fuel,Dining
243,Metro Fuel,Dining
244,Quick Hub,Fashion
245,Urban Mart,Healthcare
246,Quick Store,Fuel
247,Metro Store,Utilities
248,Prime Hub,Electronics
249,Urban Fuel,Entertainment
250,Quick Hub,Fashion
251,Elite Hub,Entertainment
252,Prime Cafe,Electronics
253,Metro Store,Travel
254,Quick Store,Entertainment
255,Elite Store,Dining
256,Quick Mart,E-commerce
257,Urban Fuel,Fashion
258,Prime Hub,Healthcare
259,Prime Store,Grocery
260,Metro Store,Entertainment
261,Elite Mart,Fashion
262,Metro Mart,Entertainment
263,Prime Hub,Fashion
264,Prime Store,Entertainment
265,Urban Store,Dining
266,Metro Cafe,Electronics
267,Urban Hub,Fuel
268,Quick Cafe,Utilities
269,Metro Mart,Fuel
270,Elite Store,Grocery
271,Metro Store,Electronics
272,Prime Hub,Fuel
273,Metro Cafe,Entertainment
274,Elite Store,Fashion
275,Metro Fuel,Entertainment
276,Elite Cafe,Fuel
277,Urban Cafe,Dining
278,Urban Store,Healthcare
279,Quick Store,Dining
280,Elite Cafe,Travel
281,Metro Fuel,Electronics
282,Quick Mart,Electronics
283,Prime Hub,Electronics
284,Quick Hub,Dining
285,Quick Mart,Fashion
286,Prime Store,Electronics
287,Metro Hub,Electronics
288,Prime Mart,Travel
289,Metro Mart,Healthcare
290,Metro Cafe,Grocery
291,Prime Store,Fashion
292,Quick Fuel,Fashion
293,Quick Store,Travel
294,Elite Store,Fuel
295,Elite Mart,Healthcare
296,Prime Cafe,Travel
297,Quick Store,Travel
298,Metro Cafe,Healthcare
299,Metro Fuel,Grocery
300,Elite Mart,Healthcare
301,Metro Cafe,E-commerce
302,Elite Mart,Grocery
303,Urban Fuel,Grocery
304,Quick Store,E-commerce
305,Elite Store,Healthcare
306,Metro Hub,Utilities
307,Prime Hub,Electronics
308,Quick Hub,Fuel
309,Elite Fuel,Entertainment
310,Elite Hub,Utilities
311,Quick Hub,Grocery
312,Urban Cafe,Travel
313,Quick Fuel,E-commerce
314,Quick Hub,Utilities
315,Urban Store,Fuel
316,Quick Store,Utilities
317,Quick Hub,Travel
318,Urban Mart,Fuel
319,Urban Cafe,Fashion
320,Prime Fuel,Fashion
321,Metro Mart,Fashion
322,Urban Hub,Electronics
323,Metro Store,Dining
324,Quick Hub,Fuel
325,Elite Store,Fashion
326,Elite Mart,Fashion
327,Urban Store,Fashion
328,Prime Fuel,Dining
329,Prime Fuel,Healthcare
330,Urban Hub,Utilities
331,Prime Hub,Utilities
332,Metro Mart,Fashion
333,Elite Mart,Fuel
334,Quick Cafe,Travel
335,Prime Mart,Travel
336,Elite Store,Fashion
337,Prime Hub,Utilities
338,Elite Fuel,Utilities
339,Urban Hub,Electronics
340,Elite Store,Entertainment
341,Quick Hub,Healthcare
342,Prime Cafe,Dining
343,Elite Fuel,Travel
344,Prime Store,Entertainment
345,Prime Store,E-commerce
346,Metro Fuel,E-commerce
347,Prime Hub,E-commerce
348,Elite Cafe,Entertainment
349,Metro Mart,Fuel
350,Metro Store,Fuel
351,Metro Hub,E-commerce
352,Prime Cafe,Dining
353,Metro Cafe,Grocery
354,Prime Mart,Travel
355,Prime Cafe,Electronics
356,Elite Hub,E-commerce
357,Urban Store,Travel
358,Metro Fuel,Utilities
359,Prime Cafe,Healthcare
360,Quick Cafe,Healthcare
361,Quick Mart,E-commerce
362,Prime Hub,Travel
363,Urban Store,Fashion
364,Metro Mart,Utilities
365,Metro Store,Dining
366,Metro Mart,Entertainment
367,Quick Fuel,Grocery
368,Metro Fuel,Travel
369,Metro Store,Healthcare
370,Urban Store,Grocery
371,Quick Cafe,Electronics
372,Quick Hub,Fashion
373,Prime Mart,Travel
374,Urban Hub,Entertainment
375,Urban Mart,Grocery
376,Quick Mart,Grocery
377,Metro Store,Dining
378,Metro Cafe,Travel
379,Elite Store,Fuel
380,Prime Hub,Electronics
381,Elite Store,Fashion
382,Elite Store,Healthcare
383,Quick Store,Grocery
384,Quick Hub,Travel
385,Prime Store,Utilities
386,Prime Store,Travel
387,Elite Store,E-commerce
388,Urban Fuel,Dining
389,Elite Fuel,Fuel
390,Quick Mart,Grocery
391,Prime Store,E-commerce
392,Elite Mart,Fashion
393,Elite Fuel,Healthcare
394,Elite Store,Grocery
395,Quick Hub,Electronics
396,Prime Cafe,Electronics
397,Prime Hub,Fashion
398,Urban Fuel,Grocery
399,Prime Store,Entertainment
400,Urban Store,Fashion
401,Metro Cafe,Electronics
402,Urban Fuel,Travel
403,Metro Mart,Entertainment
404,Urban Hub,E-commerce
405,Prime Fuel,Fuel
406,Urban Mart,E-commerce
407,Quick Store,Fashion
408,Quick Hub,Dining
409,Urban Cafe,Fashion
410,Urban Cafe,Fuel
411,Elite Fuel,Healthcare
412,Prime Hub,Dining
413,Elite Mart,Fashion
414,Elite Mart,Dining
415,Prime Cafe,Fuel
416,Quick Fuel,Grocery
417,Prime Mart,Dining
418,Elite Cafe,Grocery
419,Quick Store,Grocery
420,Elite Store,Electronics
421,Quick Hub,Travel
422,Prime Cafe,Healthcare
423,Quick Store,Fuel
424,Metro Mart,Utilities
425,Prime Mart,Fashion
426,Metro Cafe,Fashion
427,Elite Mart,Entertainment
428,Elite Mart,Dining
429,Prime Hub,E-commerce
430,Elite Cafe,Healthcare
431,Urban Store,E-commerce
432,Metro Fuel,Entertainment
433,Elite Fuel,Dining
434,Elite Store,Utilities
435,Metro Hub,Entertainment
436,Metro Hub,E-commerce
437,Metro Fuel,Fuel
438,Metro Hub,E-commerce
439,Urban Mart,Utilities
440,Urban Cafe,Utilities
441,Elite Fuel,Dining
442,Urban Mart,Grocery
443,Prime Mart,Utilities
444,Quick Fuel,Fuel
445,Elite Mart,Entertainment
446,Prime Mart,Fashion
447,Urban Store,Dining
448,Quick Fuel,Fuel
449,Elite Mart,E-commerce
450,Elite Cafe,Dining
451,Elite Mart,Dining
452,Urban Hub,Entertainment
453,Elite Hub,Travel
454,Metro Store,Electronics
455,Prime Mart,Fuel
456,Elite Cafe,Fashion
457,Urban Fuel,Entertainment
458,Metro Store,Healthcare
459,Quick Mart,Fuel
460,Metro Hub,Healthcare
461,Urban Store,Grocery
462,Urban Fuel,Entertainment
463,Metro Store,Utilities
464,Quick Hub,Grocery
465,Elite Hub,Utilities
466,Metro Cafe,Entertainment
467,Elite Mart,E-commerce
468,Quick Hub,Travel
469,Urban Fuel,Dining
470,Prime Hub,Electronics
471,Prime Hub,Fashion
472,Metro Fuel,Travel
473,Prime Fuel,Electronics
474,Metro Cafe,Utilities
475,Prime Fuel,E-commerce
476,Prime Store,Electronics
477,Urban Mart,Fuel
478,Metro Store,Entertainment
479,Prime Fuel,E-commerce
480,Elite Fuel,Dining
481,Urban Mart,Fuel
482,Prime Mart,Grocery
483,Elite Cafe,Entertainment
484,Metro Mart,Entertainment
485,Quick Hub,Entertainment
486,Quick Hub,Grocery
487,Elite Hub,Fuel
488,Metro Cafe,Dining
489,Elite Cafe,Grocery
490,Elite Store,Healthcare
491,Prime Fuel,Fashion
492,Metro Cafe,Fashion
493,Elite Cafe,E-commerce
494,Urban Mart,Travel
495,Prime Store,Travel
496,Elite Fuel,Dining
497,Prime Mart,Healthcare
498,Prime Store,Utilities
499,Quick Store,Travel
500,Elite Cafe,Travel
501,Urban Mart,Grocery
502,Metro Cafe,Travel
503,Quick Fuel,Entertainment
504,Metro Cafe,E-commerce
505,Elite Hub,Grocery
506,Urban Mart,Utilities
507,Prime Mart,Utilities
508,Metro Hub,Utilities
509,Quick Store,Healthcare
510,Quick Store,Dining
511,Quick Hub,Travel
512,Quick Hub,Grocery
513,Quick Fuel,Dining
514,Elite Hub,Fuel
515,Prime Fuel,E-commerce
516,Elite Hub,Travel
517,Quick Store,Travel
518,Elite Hub,Fashion
519,Metro Fuel,Travel
520,Metro Store,Travel
521,Quick Fuel,Fuel
522,Metro Mart,Entertainment
523,Elite Hub,Dining
524,Urban Fuel,Dining
525,Metro Cafe,Travel
526,Metro Mart,Healthcare
527,Urban Store,Fuel
528,Metro Hub,Electronics
529,Elite Hub,Dining
530,Elite Fuel,Fuel
531,Metro Hub,E-commerce
532,Urban Fuel,Utilities
533,Quick Fuel,Dining
534,Metro Cafe,Dining
535,Quick Mart,Dining
536,Quick Fuel,Travel
537,Urban Mart,Healthcare
538,Metro Hub,Fuel
539,Elite Store,Fashion
540,Metro Store,Dining
541,Quick Hub,E-commerce
542,Metro Mart,Electronics
543,Quick Fuel,Utilities
544,Metro Cafe,Dining
545,Prime Mart,Entertainment
546,Prime Hub,E-commerce
547,Quick Store,Dining
548,Elite Cafe,Travel
549,Elite Hub,Travel
550,Quick Cafe,Utilities
551,Quick Hub,E-commerce
552,Quick Cafe,Utilities
553,Metro Mart,Entertainment
554,Urban Store,Grocery
555,Urban Fuel,Fuel
556,Elite Store,Travel
557,Metro Mart,Fuel
558,Quick Store,Grocery
559,Quick Hub,Fuel
560,Elite Store,Grocery
561,Urban Hub,Dining
562,Urban Mart,Travel
563,Quick Store,Dining
564,Urban Cafe,Electronics
565,Urban Mart,Grocery
566,Elite Mart,Grocery
567,Metro Store,Grocery
568,Prime Fuel,E-commerce
569,Urban Mart,Fuel
570,Urban Hub,Fashion
571,Metro Fuel,Electronics
572,Elite Fuel,Entertainment
573,Prime Store,Electronics
574,Urban Fuel,Fuel
575,Urban Store,Utilities
576,Metro Cafe,Utilities
577,Prime Hub,Healthcare
578,Metro Fuel,Electronics
579,Metro Mart,Grocery
580,Metro Cafe,Electronics
581,Prime Fuel,Fuel
582,Quick Cafe,Electronics
583,Urban Store,Entertainment
584,Elite Cafe,Electronics
585,Urban Hub,Grocery
586,Urban Mart,Grocery
587,Metro Fuel,Grocery
588,Urban Mart,Fuel
589,Quick Store,Entertainment
590,Urban Cafe,Fashion
591,Prime Store,Healthcare
592,Elite Mart,Travel
593,Quick Fuel,Entertainment
594,Quick Hub,Grocery
595,Elite Store,Travel
596,Urban Fuel,E-commerce
597,Quick Mart,Dining
598,Urban Hub,Entertainment
599,Metro Mart,Fuel
600,Elite Fuel,E-commerce
601,Metro Hub,E-commerce
602,Metro Cafe,Utilities
603,Quick Fuel,Entertainment
604,Metro Hub,Fuel
605,Prime Hub,Electronics
606,Urban Hub,Dining
607,Elite Cafe,Healthcare
608,Urban Hub,Grocery
609,Prime Hub,Electronics
610,Elite Hub,E-commerce
611,Urban Cafe,E-commerce
612,Prime Fuel,Travel
613,Urban Store,E-commerce
614,Elite Fuel,Entertainment
615,Elite Fuel,Entertainment
616,Metro Store,Grocery
617,Prime Store,Fuel
618,Elite Mart,Fashion
619,Elite Hub,E-commerce
620,Quick Cafe,Fuel
621,Prime Store,Entertainment
622,Quick Store,Travel
623,Prime Mart,Electronics
624,Metro Store,Travel
625,Urban Hub,Fuel
626,Elite Store,Electronics
627,Prime Mart,Utilities
628,Elite Mart,Dining
629,Urban Hub,Healthcare
630,Prime Hub,Travel
631,Metro Mart,Travel
632,Urban Hub,Fashion
633,Urban Cafe,Fuel
634,Prime Mart,Utilities
635,Elite Fuel,Fuel
636,Quick Cafe,Fuel
637,Elite Hub,Travel
638,Prime Hub,Utilities
639,Quick Cafe,Fashion
640,Quick Fuel,Grocery
641,Urban Store,Electronics
642,Metro Mart,Dining
643,Elite Hub,Healthcare
644,Elite Hub,Dining
645,Metro Fuel,Entertainment
646,Elite Fuel,Electronics
647,Metro Fuel,Healthcare
648,Urban Hub,Entertainment
649,Quick Mart,Fuel
650,Metro Mart,Fuel
651,Elite Fuel,Grocery
652,Elite Fuel,Fashion
653,Quick Fuel,Fuel
654,Metro Store,Dining
655,Elite Cafe,Dining
656,Prime Store,Healthcare
657,Quick Hub,Healthcare
658,Metro Fuel,Travel
659,Urban Hub,Travel
660,Elite Fuel,Grocery
661,Elite Hub,Healthcare
662,Prime Store,Utilities
663,Elite Store,Electronics
664,Prime Cafe,Electronics
665,Quick Fuel,Fuel
666,Prime Mart,Entertainment
667,Urban Mart,Electronics
668,Urban Store,Electronics
669,Quick Cafe,Entertainment
670,Urban Store,Fashion
671,Prime Mart,Entertainment
672,Prime Hub,Utilities
673,Prime Store,Travel
674,Metro Mart,Healthcare
675,Urban Fuel,Dining
676,Elite Fuel,Grocery
677,Metro Mart,E-commerce
678,Prime Hub,Grocery
679,Elite Fuel,Electronics
680,Metro Fuel,Grocery
681,Metro Mart,E-commerce
682,Elite Fuel,Fuel
683,Prime Cafe,Dining
684,Elite Hub,Entertainment
685,Urban Fuel,Utilities
686,Urban Cafe,Entertainment
687,Metro Cafe,Dining
688,Quick Cafe,E-commerce
689,Urban Cafe,Fuel
690,Quick Cafe,Grocery
691,Elite Mart,Fuel
692,Urban Cafe,Healthcare
693,Urban Cafe,Electronics
694,Quick Mart,Healthcare
695,Urban Hub,Healthcare
696,Quick Cafe,Utilities
697,Prime Mart,Fashion
698,Urban Store,E-commerce
699,Prime Cafe,Dining
700,Quick Cafe,E-commerce
701,Elite Hub,Fuel
702,Elite Mart,Dining
703,Prime Mart,E-commerce
704,Elite Cafe,E-commerce
705,Quick Cafe,E-commerce
706,Elite Hub,E-commerce
707,Prime Fuel,E-commerce
708,Quick Fuel,Entertainment
709,Metro Store,Travel
710,Urban Hub,Fuel
711,Quick Store,Electronics
712,Prime Hub,Utilities
713,Prime Mart,Entertainment
714,Prime Store,E-commerce
715,Prime Cafe,Fashion
716,Urban Cafe,Dining
717,Prime Store,Utilities
718,Quick Store,Utilities
719,Prime Hub,Healthcare
720,Prime Hub,Grocery
721,Elite Mart,E-commerce
722,Elite Mart,E-commerce
723,Prime Hub,Fashion
724,Urban Hub,Utilities
725,Urban Fuel,Dining
726,Urban Mart,Travel
727,Metro Hub,Utilities
728,Metro Fuel,Healthcare
729,Prime Cafe,Healthcare
730,Quick Store,Grocery
731,Urban Mart,Fashion
732,Prime Cafe,Healthcare
733,Urban Hub,Utilities
734,Elite Fuel,Healthcare
735,Prime Fuel,Utilities
736,Quick Mart,Dining
737,Quick Fuel,Entertainment
738,Prime Store,Fashion
739,Urban Store,Fuel
740,Urban Fuel,Fuel
741,Elite Mart,E-commerce
742,Elite Cafe,Dining
743,Urban Mart,Fuel
744,Urban Store,Entertainment
745,Metro Fuel,Electronics
746,Prime Cafe,Travel
747,Elite Store,Utilities
748,Metro Fuel,Fuel
749,Quick Fuel,Grocery
750,Urban Hub,Entertainment
751,Quick Hub,Electronics
752,Prime Store,Fashion
753,Urban Fuel,Utilities
754,Elite Store,Travel
755,Elite Mart,Electronics
756,Urban Store,Utilities
757,Urban Cafe,E-commerce
758,Prime Mart,E-commerce
759,Urban Fuel,Healthcare
760,Prime Hub,Entertainment
761,Quick Store,Electronics
762,Prime Store,Fuel
763,Prime Store,E-commerce
764,Elite Cafe,Travel
765,Elite Fuel,Fashion
766,Prime Hub,Grocery
767,Prime Mart,Fuel
768,Quick Hub,E-commerce
769,Quick Fuel,Healthcare
770,Quick Cafe,Entertainment
771,Metro Store,Entertainment
772,Metro Hub,Travel
773,Metro Store,E-commerce
774,Prime Hub,Dining
775,Prime Cafe,Grocery
776,Elite Mart,Electronics
777,Metro Fuel,Grocery
778,Metro Fuel,Entertainment
779,Urban Fuel,Grocery
780,Quick Fuel,Travel
781,Prime Store,Fashion
782,Elite Fuel,Healthcare
783,Elite Cafe,Utilities
784,Quick Fuel,Healthcare
785,Elite Hub,Fuel
786,Metro Store,Grocery
787,Quick Fuel,Grocery
788,Elite Mart,Grocery
789,Elite Store,Electronics
790,Elite Hub,Travel
791,Metro Mart,Travel
792,Metro Mart,E-commerce
793,Quick Cafe,Fuel
794,Urban Fuel,Electronics
795,Quick Fuel,Healthcare
796,Urban Store,Fuel
797,Prime Mart,Entertainment
798,Metro Mart,Electronics
799,Quick Store,Utilities
800,Quick Store,E-commerce
801,Urban Mart,Dining
802,Prime Mart,Utilities
803,Metro Hub,Entertainment
804,Metro Mart,Travel
805,Elite Store,Entertainment
806,Prime Hub,E-commerce
807,Metro Fuel,Entertainment
808,Urban Store,Grocery
809,Elite Store,Grocery
810,Urban Fuel,Electronics
811,Prime Fuel,Travel
812,Elite Fuel,Fashion
813,Prime Store,E-commerce
814,Elite Store,Entertainment
815,Elite Store,Travel
816,Elite Cafe,Fashion
817,Elite Store,Entertainment
818,Prime Hub,Healthcare
819,Urban Store,Travel
820,Urban Store,Travel
821,Prime Fuel,Fuel
822,Prime Fuel,Fashion
823,Elite Store,Fuel
824,Quick Cafe,Electronics
825,Prime Mart,Fashion
826,Urban Mart,Electronics
827,Prime Fuel,Entertainment
828,Prime Hub,Grocery
829,Elite Store,Utilities
830,Urban Mart,Grocery
831,Prime Store,Healthcare
832,Urban Fuel,E-commerce
833,Elite Hub,Fashion
834,Urban Mart,Fashion
835,Quick Cafe,Grocery
836,Elite Hub,Grocery
837,Urban Hub,Electronics
838,Elite Fuel,Healthcare
839,Urban Fuel,Healthcare
840,Elite Mart,Healthcare
841,Quick Store,Fashion
842,Metro Hub,Fuel
843,Elite Cafe,Fuel
844,Prime Cafe,Grocery
845,Prime Hub,Fashion
846,Prime Cafe,Fuel
847,Prime Cafe,Dining
848,Metro Cafe,Dining
849,Elite Store,Fashion
850,Quick Store,Travel
851,Quick Cafe,Dining
852,Urban Mart,E-commerce
853,Elite Mart,Fuel
854,Metro Cafe,Fashion
855,Prime Cafe,Fuel
856,Metro Fuel,E-commerce
857,Quick Hub,Healthcare
858,Prime Hub,Fuel
859,Metro Cafe,Healthcare
860,Elite Cafe,E-commerce
861,Quick Store,Travel
862,Elite Hub,Fuel
863,Urban Mart,Grocery
864,Urban Mart,Fuel
865,Urban Mart,Utilities
866,Quick Hub,Travel
867,Elite Mart,Fashion
868,Elite Hub,Fuel
869,Prime Hub,Utilities
870,Prime Hub,Travel
871,Prime Cafe,Entertainment
872,Urban Store,Utilities
873,Prime Fuel,Grocery
874,Prime Store,Dining
875,Urban Mart,Entertainment
876,Metro Cafe,Healthcare
877,Metro Hub,Grocery
878,Prime Store,Grocery
879,Urban Fuel,Utilities
880,Metro Store,Fashion
881,Quick Mart,Fuel
882,Metro Fuel,Electronics
883,Metro Mart,Grocery
884,Urban Hub,Utilities
885,Quick Fuel,Fashion
886,Prime Store,Travel
887,Metro Fuel,E-commerce
888,Prime Mart,Dining
889,Metro Fuel,E-commerce
890,Metro Fuel,Electronics
891,Metro Store,Electronics
892,Quick Fuel,Fuel
893,Prime Store,Healthcare
894,Prime Mart,Healthcare
895,Elite Hub,Grocery
896,Urban Cafe,Fashion
897,Elite Cafe,Grocery
898,Metro Mart,Dining
899,Elite Hub,Fashion
900,Elite Cafe,E-commerce
901,Prime Hub,Travel
902,Urban Mart,Grocery
903,Urban Hub,Utilities
904,Urban Cafe,Dining
905,Elite Mart,Fuel
906,Urban Mart,Travel
907,Metro Fuel,Electronics
908,Urban Mart,Dining
909,Prime Hub,Grocery
910,Prime Fuel,Healthcare
911,Metro Fuel,E-commerce
912,Urban Fuel,Entertainment
913,Quick Fuel,Fashion
914,Prime Mart,Healthcare
915,Prime Store,Fuel
916,Metro Store,Travel
917,Urban Store,Grocery
918,Elite Cafe,Entertainment
919,Quick Mart,Travel
920,Urban Store,Grocery
921,Elite Fuel,Travel
922,Quick Mart,Dining
923,Metro Mart,Utilities
924,Metro Fuel,Utilities
925,Prime Mart,Fashion
926,Prime Mart,Entertainment
927,Prime Fuel,Entertainment
928,Quick Cafe,Fashion
929,Elite Mart,E-commerce
930,Quick Fuel,Fuel
931,Metro Hub,Electronics
932,Quick Store,E-commerce
933,Quick Store,Healthcare
934,Quick Store,Dining
935,Elite Cafe,Dining
936,Metro Cafe,Travel
937,Quick Store,Electronics
938,Metro Mart,Dining
939,Metro Hub,Electronics
940,Quick Cafe,Healthcare
941,Quick Fuel,Healthcare
942,Prime Fuel,Dining
943,Quick Fuel,Healthcare
944,Elite Fuel,Entertainment
945,Prime Fuel,Entertainment
946,Quick Store,Healthcare
947,Prime Mart,Utilities
948,Elite Hub,Healthcare
949,Prime Mart,Utilities
950,Urban Hub,Electronics
951,Metro Cafe,Healthcare
952,Urban Fuel,Fuel
953,Elite Fuel,Healthcare
954,Elite Fuel,Entertainment
955,Metro Store,Healthcare
956,Prime Hub,Entertainment
957,Urban Mart,E-commerce
958,Quick Store,E-commerce
959,Quick Cafe,Fashion
960,Urban Mart,Entertainment
961,Quick Fuel,E-commerce
962,Urban Mart,Healthcare
963,Elite Store,Grocery
964,Urban Mart,Healthcare
965,Urban Hub,E-commerce
966,Metro Mart,Electronics
967,Quick Cafe,Fashion
968,Prime Mart,E-commerce
969,Urban Cafe,Electronics
970,Quick Fuel,Healthcare
971,Urban Cafe,Entertainment
972,Urban Mart,Entertainment
973,Prime Cafe,Travel
974,Prime Hub,Healthcare
975,Metro Fuel,Fuel
976,Elite Store,Electronics
977,Prime Mart,Grocery
978,Quick Hub,Travel
979,Metro Cafe,Grocery
980,Prime Mart,E-commerce
981,Urban Hub,Electronics
