customer_id,total_spend,avg_ticket_size,txn_count,last_txn_date,first_txn_date,merchant_diversity,recency_days,frequency,monetary,active_days,spend_velocity,decline_rate,dispute_rate,late_night_ratio,avg_utilisation,income_band,city,age,R_score,F_score,M_score,RFM_score,rfm_segment
17,102093.43,3002.7479411764702,34,2025-06-29 14:32:00,2024-03-11 10:37:00,10,0,34,102093.43,475,214.93,0.0,0.0556,0.1944,0.3403333333333333,Low,Chennai,53,5,5,5,15,Champions
19,81057.06,2133.0805263157895,38,2025-06-23 18:17:00,2024-03-25 10:55:00,9,6,38,81057.06,455,178.15,0.0256,0.0,0.1282,0.05006666666666667,Low,Kolkata,23,5,5,5,15,Champions
23,23360.85,2123.7136363636364,11,2025-06-02 19:51:00,2024-06-25 23:15:00,8,27,11,23360.85,341,68.51,0.0,0.0,0.3636,0.0467,High,Chandigarh,23,3,2,2,7,At Risk
24,20637.27,2293.03,9,2025-05-21 17:46:00,2024-06-02 05:10:00,7,39,9,20637.27,353,58.46,0.0,0.0,0.1111,0.4127,High,Pune,72,2,1,2,5,Lost
25,26123.86,1632.74125,16,2025-05-29 15:41:00,2024-08-29 07:23:00,9,31,16,26123.86,273,95.69,0.0,0.0,0.1875,0.19410000000000002,High,Pune,45,2,3,2,7,At Risk
26,12708.65,2541.73,5,2025-02-21 20:09:00,2023-08-27 03:23:00,4,128,5,12708.65,544,23.36,0.1667,0.0,0.3333,0.1271,Medium,Pune,24,1,1,1,3,Lost
27,23395.01,2339.5009999999997,10,2025-05-25 11:59:00,2023-10-25 23:47:00,7,35,10,23395.01,577,40.55,0.0,0.0,0.3,0.156,Premium,Chennai,43,2,2,2,6,Lost
28,92401.36,2497.334054054054,37,2025-06-28 02:19:00,2023-09-08 06:42:00,10,1,37,92401.36,658,140.43,0.0732,0.0244,0.2927,0.14465999999999998,Premium,Delhi,43,5,5,5,15,Champions
29,53021.19,1559.4467647058825,34,2025-06-07 05:04:00,2023-11-04 09:53:00,10,22,34,53021.19,580,91.42,0.0,0.0286,0.1429,0.1675333333333333,Medium,Kolkata,40,3,5,4,12,Loyal
30,102990.36,1907.2288888888888,54,2025-06-19 23:00:00,2023-11-16 17:46:00,10,10,54,102990.36,581,177.26,0.0357,0.0,0.2143,0.20965,Premium,Chandigarh,51,4,5,5,14,Champions
31,54075.84,2079.8399999999997,26,2025-06-22 18:08:00,2023-04-06 18:27:00,10,7,26,54075.84,807,67.01,0.0357,0.0357,0.25,0.28946666666666665,Premium,Hyderabad,32,4,4,4,12,Loyal
32,62193.96,1884.6654545454546,33,2025-06-28 17:21:00,2023-11-14 22:05:00,10,1,33,62193.96,591,105.24,0.0,0.0,0.2727,0.1920666666666667,High,Delhi,75,5,5,5,15,Champions
33,39145.04,1957.252,20,2025-06-25 23:00:00,2024-03-29 14:27:00,9,4,20,39145.04,453,86.41,0.0476,0.0,0.1905,0.0783,High,Kolkata,34,5,4,4,13,Champions
35,23193.489999999998,1364.3229411764705,17,2025-05-27 03:35:00,2023-11-17 22:01:00,9,33,17,23193.489999999998,556,41.71,0.15,0.0,0.3,0.1009,Low,Chennai,65,2,3,2,7,At Risk
37,11906.15,992.1791666666667,12,2025-05-21 20:30:00,2024-02-21 05:09:00,8,39,12,11906.15,455,26.17,0.0769,0.0,0.4615,0.0397,Low,Bangalore,29,2,2,1,5,Lost
39,33570.71,2098.169375,16,2025-06-05 03:39:00,2023-04-09 02:23:00,9,24,16,33570.71,788,42.6,0.0556,0.0556,0.3889,0.12990000000000002,Low,Delhi,51,3,3,3,9,At Risk
40,66483.28,1955.390588235294,34,2025-05-15 07:38:00,2024-04-28 21:27:00,10,45,34,66483.28,381,174.5,0.1053,0.0,0.2368,0.20616666666666664,Medium,Delhi,37,2,5,5,12,Loyal
41,76347.84,4771.74,16,2025-04-22 11:56:00,2024-05-03 20:20:00,8,68,16,76347.84,353,216.28,0.0526,0.1053,0.3684,0.36074999999999996,Medium,Bangalore,26,1,3,5,9,At Risk
43,17551.53,1950.1699999999998,9,2025-05-23 21:55:00,2024-05-10 13:21:00,7,37,9,17551.53,378,46.43,0.0,0.0,0.2222,0.0878,High,Hyderabad,55,2,1,2,5,Lost
44,14951.16,1359.1963636363637,11,2025-06-27 05:59:00,2024-01-30 19:30:00,4,2,11,14951.16,513,29.14,0.0833,0.0,0.0,0.1993,High,Chennai,47,5,2,1,8,At Risk
45,10868.759999999998,1358.5949999999998,8,2025-06-01 18:52:00,2023-10-03 01:54:00,6,28,8,10868.759999999998,607,17.91,0.0,0.0,0.375,0.0543,Low,Hyderabad,21,3,1,1,5,Lost
50,6225.71,1556.4275,4,2025-02-11 20:34:00,2023-10-18 07:37:00,4,138,4,6225.71,482,12.92,0.2,0.0,0.0,0.0415,Low,Hyderabad,61,1,1,1,3,Lost
51,55074.53,2039.7974074074073,27,2025-06-21 19:39:00,2024-08-12 00:53:00,10,8,27,55074.53,313,175.96,0.129,0.0,0.2581,0.0974,Low,Bangalore,65,4,4,4,12,Loyal
52,36931.13,2051.729444444444,18,2025-06-26 01:36:00,2024-04-07 01:14:00,8,3,18,36931.13,445,82.99,0.0,0.0,0.2778,0.22195,High,Chennai,18,5,3,3,11,Loyal
53,73674.67,1841.86675,40,2025-06-23 12:58:00,2023-09-25 01:35:00,9,6,40,73674.67,637,115.66,0.0,0.0,0.325,0.2456,Medium,Kolkata,40,5,5,5,15,Champions
54,42887.119999999995,2522.771764705882,17,2025-04-13 06:30:00,2024-01-06 16:59:00,9,77,17,42887.119999999995,462,92.83,0.0,0.0,0.2353,0.1804,Medium,Chennai,33,1,3,4,8,At Risk
55,35603.39,3236.6718181818183,11,2025-05-27 13:34:00,2024-03-08 15:12:00,7,33,11,35603.39,444,80.19,0.0,0.0,0.2727,0.0712,Medium,Hyderabad,51,2,2,3,7,At Risk
56,21538.53,1656.81,13,2025-05-22 14:29:00,2023-10-06 10:51:00,8,38,13,21538.53,594,36.26,0.0,0.0,0.4615,0.2872,Medium,Kolkata,74,2,2,2,6,Lost
57,10510.85,1167.8722222222223,9,2025-06-29 08:48:00,2024-05-16 07:47:00,5,0,9,10510.85,409,25.7,0.1,0.0,0.1,0.1401,High,Chennai,24,5,1,1,7,At Risk
58,44378.14,2958.5426666666667,15,2025-06-22 14:43:00,2023-05-26 13:35:00,7,7,15,44378.14,758,58.55,0.0,0.0625,0.1875,0.17520000000000002,Low,Chandigarh,56,4,3,4,11,Loyal
60,30495.300000000003,2345.792307692308,13,2025-06-21 13:44:00,2024-04-17 02:29:00,7,8,13,30495.300000000003,430,70.92,0.0667,0.0667,0.2,0.1525,Low,Bangalore,44,4,2,3,9,At Risk
61,53518.07,1982.1507407407407,27,2025-05-19 08:38:00,2024-05-28 21:44:00,9,41,27,53518.07,355,150.76,0.0357,0.0,0.2857,0.1003,Low,Bangalore,72,2,4,4,10,Loyal
62,10864.51,1207.1677777777777,9,2025-06-20 09:04:00,2024-02-29 23:38:00,7,9,9,10864.51,476,22.82,0.1818,0.0,0.2727,0.0362,High,Pune,60,4,1,1,6,Lost
63,53462.05,2227.585416666667,24,2025-05-26 14:40:00,2023-09-11 01:12:00,10,34,24,53462.05,623,85.81,0.0741,0.037,0.1852,0.36555000000000004,High,Pune,23,2,4,4,10,Loyal
64,28407.57,1775.473125,16,2025-06-17 20:13:00,2024-05-13 07:49:00,8,12,16,28407.57,400,71.02,0.0,0.0588,0.3529,0.1171,High,Pune,43,4,3,3,10,Loyal
65,34626.5,2308.4333333333334,15,2025-06-22 01:02:00,2024-07-19 14:38:00,7,7,15,34626.5,337,102.75,0.0625,0.0,0.5625,0.10205,Medium,Chandigarh,61,4,3,3,10,Loyal
66,56112.87,2158.187307692308,26,2025-05-15 16:02:00,2023-07-21 22:25:00,10,45,26,56112.87,663,84.63,0.0345,0.069,0.3448,0.06165,High,Delhi,24,2,4,5,11,Loyal
67,27306.9,2730.69,10,2025-05-29 18:34:00,2023-07-10 05:38:00,7,31,10,27306.9,689,39.63,0.0,0.0,0.0,0.5461,Low,Chandigarh,47,2,2,3,7,At Risk
69,17377.33,2172.16625,8,2024-12-16 08:53:00,2024-01-12 23:26:00,7,195,8,17377.33,338,51.41,0.0,0.0,0.25,0.0869,Medium,Bangalore,22,1,1,2,4,Lost
70,33321.21,2380.0864285714283,14,2025-05-10 23:39:00,2023-08-09 08:29:00,8,50,14,33321.21,640,52.06,0.0,0.0,0.2143,0.0444,High,Bangalore,73,2,3,3,8,At Risk
71,11334.32,1259.368888888889,9,2025-05-21 23:33:00,2024-06-27 06:02:00,6,39,9,11334.32,328,34.56,0.1,0.0,0.1,0.1133,Low,Pune,39,2,1,1,4,Lost
72,21853.89,2185.389,10,2025-06-26 01:48:00,2023-07-22 13:36:00,8,3,10,21853.89,704,31.04,0.0,0.0,0.4,0.1457,Low,Chandigarh,33,5,2,2,9,At Risk
76,24608.579999999998,3515.5114285714285,7,2025-06-14 13:01:00,2024-04-24 15:04:00,5,15,7,24608.579999999998,415,59.3,0.0,0.0,0.1429,0.0492,High,Chennai,60,3,1,2,6,Lost
80,12144.630000000001,1518.0787500000001,8,2025-03-27 17:28:00,2023-03-17 14:57:00,3,94,8,12144.630000000001,741,16.39,0.0,0.0,0.5,0.2429,Low,Kolkata,37,1,1,1,3,Lost
81,73012.77,1921.3886842105264,38,2025-06-26 06:36:00,2024-07-11 17:45:00,10,3,38,73012.77,349,209.21,0.0714,0.0238,0.0952,0.164275,Low,Kolkata,41,5,5,5,15,Champions
82,26136.0,2178.0,12,2025-06-14 01:35:00,2024-08-24 21:47:00,7,15,12,26136.0,293,89.2,0.0,0.0,0.5,0.0998,Low,Kolkata,46,3,2,2,7,At Risk
83,34978.73,2690.6715384615386,13,2025-06-14 06:19:00,2024-02-11 05:32:00,8,15,13,34978.73,489,71.53,0.1875,0.0,0.3125,0.05935,High,Hyderabad,70,3,2,3,8,At Risk
84,73057.11,1922.5555263157894,38,2025-06-19 07:18:00,2023-04-03 19:37:00,10,10,38,73057.11,807,90.53,0.05,0.0,0.15,0.1493,Low,Mumbai,71,4,5,5,14,Champions
85,59643.52,2711.069090909091,22,2025-06-12 01:55:00,2024-01-15 22:30:00,9,17,22,59643.52,513,116.26,0.0,0.0,0.2727,0.1259,High,Pune,34,3,4,5,12,Loyal
86,73605.09,2300.1590625,32,2025-06-17 21:47:00,2023-07-27 10:25:00,10,12,32,73605.09,691,106.52,0.0588,0.0,0.2941,0.13670000000000002,Low,Kolkata,32,4,5,5,14,Champions
87,33061.43,1271.5934615384615,26,2025-06-14 16:24:00,2024-02-26 21:48:00,9,15,26,33061.43,473,69.9,0.0,0.037,0.1481,0.1325,Low,Kolkata,41,3,4,3,10,Loyal
88,21878.85,2187.8849999999998,10,2025-04-09 20:15:00,2023-05-13 22:02:00,7,81,10,21878.85,696,31.44,0.0,0.0,0.4,0.0292,Low,Bangalore,29,1,2,2,5,Lost
89,56227.39,2249.0956,25,2025-06-17 03:23:00,2024-05-14 18:45:00,10,12,25,56227.39,398,141.27,0.0385,0.0,0.1923,0.0937,Medium,Chennai,50,4,4,5,13,Champions
91,68945.48,2154.54625,32,2025-06-22 13:08:00,2024-10-18 19:53:00,9,7,32,68945.48,246,280.27,0.0,0.0,0.2188,0.12153333333333334,Medium,Delhi,45,4,5,5,14,Champions
93,817.56,408.78,2,2024-06-15 16:05:00,2024-06-01 12:07:00,2,379,2,817.56,14,58.4,0.0,0.3333,0.3333,0.0041,Medium,Mumbai,67,1,1,1,3,Lost
94,29328.86,2256.066153846154,13,2025-06-08 06:29:00,2023-08-13 01:01:00,6,21,13,29328.86,665,44.1,0.0,0.0,0.3846,0.1955,Low,Kolkata,26,3,2,3,8,At Risk
95,46222.53,2432.7647368421053,19,2025-06-16 09:31:00,2024-05-20 10:16:00,10,13,19,46222.53,391,118.22,0.0476,0.0476,0.1905,0.15405,Medium,Chennai,62,4,3,4,11,Loyal
97,43156.63,1726.2651999999998,25,2025-06-08 08:54:00,2024-02-06 01:25:00,10,21,25,43156.63,488,88.44,0.0,0.0,0.2,0.0875,Low,Hyderabad,63,3,4,4,11,Loyal
98,42995.9,1719.836,25,2025-06-19 06:02:00,2024-07-17 05:49:00,9,10,25,42995.9,337,127.58,0.1034,0.0345,0.3793,0.28665,Medium,Mumbai,51,4,4,4,12,Loyal
99,27088.2,2083.7076923076925,13,2025-05-26 20:52:00,2023-07-12 17:18:00,8,34,13,27088.2,684,39.6,0.1333,0.0,0.1333,0.23320000000000002,Medium,Bangalore,62,2,2,3,7,At Risk
102,41708.13,1737.83875,24,2025-06-21 23:09:00,2024-08-26 08:18:00,9,8,24,41708.13,299,139.49,0.0,0.0,0.375,0.2262,High,Hyderabad,41,4,4,4,12,Loyal
103,20680.489999999998,2585.0612499999997,8,2025-05-20 19:22:00,2023-10-24 22:14:00,5,40,8,20680.489999999998,573,36.09,0.0,0.0,0.25,0.1379,Medium,Bangalore,69,2,1,2,5,Lost
104,50387.09,1937.965,26,2025-06-12 12:12:00,2023-05-15 08:47:00,9,17,26,50387.09,759,66.39,0.0,0.037,0.2593,0.3145,Low,Pune,34,3,4,4,11,Loyal
105,27329.26,1607.6035294117646,17,2025-06-16 03:13:00,2023-11-24 18:19:00,7,13,17,27329.26,569,48.03,0.0,0.0,0.3529,0.09955,High,Bangalore,59,4,3,3,10,Loyal
106,50675.700000000004,1876.877777777778,27,2025-06-07 17:13:00,2024-05-18 09:57:00,10,22,27,50675.700000000004,385,131.63,0.069,0.0,0.1724,0.1329,Premium,Kolkata,37,3,4,4,11,Loyal
107,99202.48999999999,3420.775517241379,29,2025-06-26 07:13:00,2024-07-19 12:12:00,9,3,29,99202.48999999999,341,290.92,0.0323,0.0323,0.2258,0.3111,Low,Chennai,63,5,5,5,15,Champions
108,9562.03,956.2030000000001,10,2025-05-03 08:21:00,2023-11-27 23:51:00,5,57,10,9562.03,522,18.32,0.0909,0.0,0.2727,0.0956,Medium,Bangalore,66,2,2,1,5,Lost
110,82177.08,2490.2145454545457,33,2025-05-15 20:52:00,2024-04-08 10:39:00,9,45,33,82177.08,402,204.42,0.0571,0.0,0.1714,0.23206666666666667,Medium,Chandigarh,54,2,5,5,12,Loyal
113,36014.31,2770.3315384615385,13,2025-05-28 05:50:00,2023-09-12 17:02:00,7,32,13,36014.31,623,57.81,0.0,0.0,0.2308,0.072,Premium,Bangalore,34,2,2,3,7,At Risk
114,9364.52,2341.13,4,2025-06-14 06:10:00,2024-12-30 20:22:00,3,15,4,9364.52,165,56.75,0.3333,0.2222,0.3333,0.0312,Low,Pune,53,3,1,1,5,Lost
115,37024.46,1763.0695238095238,21,2025-06-27 12:01:00,2024-10-22 07:10:00,9,2,21,37024.46,248,149.29,0.087,0.0,0.2174,0.04635,High,Mumbai,65,5,4,3,12,Loyal
116,4816.84,802.8066666666667,6,2025-04-15 02:29:00,2024-07-06 00:46:00,4,75,6,4816.84,283,17.02,0.0,0.0,0.6667,0.0161,Low,Hyderabad,38,1,1,1,3,Lost
117,23684.730000000003,2960.5912500000004,8,2025-03-18 20:48:00,2023-09-15 10:51:00,5,103,8,23684.730000000003,550,43.06,0.1111,0.0,0.4444,0.0237,Medium,Chandigarh,37,1,1,2,4,Lost
119,17390.0,2173.75,8,2025-01-30 05:29:00,2024-04-30 02:28:00,4,150,8,17390.0,275,63.24,0.0,0.0,0.625,0.1159,Medium,Delhi,61,1,1,2,4,Lost
120,21919.23,1826.6025,12,2025-02-08 15:59:00,2023-07-23 20:08:00,6,141,12,21919.23,565,38.8,0.0769,0.0,0.1538,0.0438,Low,Chennai,60,1,2,2,5,Lost
121,52737.39,1818.5306896551724,29,2025-06-19 23:20:00,2024-01-30 10:53:00,10,10,29,52737.39,506,104.22,0.0882,0.0588,0.2353,0.16276666666666667,Low,Chandigarh,52,4,5,4,13,Champions
122,14693.510000000002,2099.0728571428576,7,2025-06-17 05:11:00,2023-12-24 18:47:00,7,12,7,14693.510000000002,540,27.21,0.3333,0.0833,0.1667,0.1469,Medium,Bangalore,23,4,1,1,6,Lost
123,21680.79,2710.09875,8,2025-05-13 22:16:00,2024-09-04 16:31:00,7,47,8,21680.79,251,86.38,0.2,0.0,0.1,0.1445,High,Chandigarh,26,2,1,2,5,Lost
124,30426.66,2340.512307692308,13,2025-06-25 21:33:00,2024-08-04 11:31:00,8,4,13,30426.66,325,93.62,0.0,0.0,0.0769,0.3043,Low,Pune,21,5,2,3,10,Loyal
125,35587.67,2093.3923529411763,17,2025-06-17 01:47:00,2024-01-16 02:05:00,8,12,17,35587.67,517,68.83,0.0,0.0,0.2353,0.13895,Low,Bangalore,36,4,3,3,10,Loyal
126,37586.53,1503.4612,25,2025-06-27 16:32:00,2023-03-29 11:51:00,9,2,25,37586.53,821,45.78,0.0385,0.0,0.0769,0.18795,Premium,Pune,19,5,4,3,12,Loyal
128,42631.55,2131.5775000000003,20,2025-06-06 14:28:00,2023-12-18 17:23:00,8,23,20,42631.55,535,79.69,0.0476,0.0,0.0952,0.1421,High,Mumbai,19,3,4,4,11,Loyal
129,49656.18,2364.58,21,2025-06-28 07:46:00,2023-09-11 15:35:00,9,1,21,49656.18,655,75.81,0.087,0.0,0.2174,0.1555,Medium,Chennai,75,5,4,4,13,Champions
131,15045.91,1880.73875,8,2025-03-31 23:19:00,2024-08-04 06:22:00,4,90,8,15045.91,239,62.95,0.0,0.0,0.125,0.0502,Premium,Hyderabad,18,1,1,1,3,Lost
133,74795.5,2077.652777777778,36,2025-06-14 19:28:00,2024-05-23 05:28:00,10,15,36,74795.5,387,193.27,0.0976,0.0244,0.2439,0.137775,Low,Pune,28,3,5,5,13,Champions
134,82229.81999999999,2418.5241176470586,34,2025-03-09 18:53:00,2023-06-17 15:32:00,10,112,34,82229.81999999999,631,130.32,0.0278,0.0278,0.2222,0.46555,Medium,Pune,57,1,5,5,11,Loyal
135,34844.82,1935.8233333333333,18,2025-06-10 13:22:00,2024-03-27 15:03:00,8,19,18,34844.82,439,79.37,0.0526,0.0,0.3158,0.0991,Medium,Hyderabad,62,3,3,3,9,At Risk
137,27451.68,2745.168,10,2025-06-28 17:26:00,2023-11-02 00:31:00,6,1,10,27451.68,604,45.45,0.0,0.0,0.4,0.0275,Low,Mumbai,60,5,2,3,10,Loyal
138,77439.84,1647.6561702127658,47,2025-06-13 04:22:00,2023-11-22 04:46:00,10,16,47,77439.84,568,136.34,0.0208,0.0,0.25,0.09659999999999999,Medium,Mumbai,23,3,5,5,13,Champions
140,34013.52,1360.5407999999998,25,2025-06-18 13:20:00,2024-06-25 06:46:00,9,11,25,34013.52,358,95.01,0.1071,0.0,0.2857,0.11583333333333333,Premium,Kolkata,18,4,4,3,11,Loyal
142,29559.510000000002,2463.2925,12,2025-05-29 05:32:00,2023-08-16 22:38:00,6,31,12,29559.510000000002,651,45.41,0.0714,0.0714,0.1429,0.3941,Medium,Delhi,20,2,2,3,7,At Risk
143,78607.55,2710.6051724137933,29,2025-06-20 20:31:00,2023-10-11 22:52:00,10,9,29,78607.55,617,127.4,0.0,0.0,0.1724,0.1325,High,Chandigarh,63,4,5,5,14,Champions
146,30071.59,1768.9170588235295,17,2025-06-26 17:31:00,2024-03-04 02:28:00,9,3,17,30071.59,479,62.78,0.0,0.0,0.2941,0.08295,Medium,Chandigarh,52,5,3,3,11,Loyal
147,45885.71,1995.0308695652172,23,2025-06-11 17:05:00,2024-05-13 12:13:00,9,18,23,45885.71,394,116.46,0.0,0.0,0.2174,0.10075,Low,Hyderabad,20,3,4,4,11,Loyal
148,42891.04,1429.7013333333334,30,2025-06-15 09:32:00,2024-05-10 20:09:00,10,14,30,42891.04,400,107.23,0.0625,0.0,0.0938,0.17666666666666667,Medium,Delhi,38,4,5,4,13,Champions
151,28936.29,2411.3575,12,2025-05-14 06:31:00,2024-01-10 11:17:00,7,46,12,28936.29,489,59.17,0.0769,0.0,0.2308,0.5787,Medium,Delhi,72,2,2,3,7,At Risk
152,50964.45,1498.9544117647058,34,2025-06-27 01:30:00,2023-12-16 00:30:00,10,2,34,50964.45,559,91.17,0.0278,0.0278,0.25,0.08906666666666667,Premium,Delhi,72,5,5,4,14,Champions
155,22897.39,2544.1544444444444,9,2025-01-26 23:43:00,2024-01-09 00:08:00,6,154,9,22897.39,383,59.78,0.0,0.0,0.4444,0.3053,Premium,Chandigarh,34,1,1,2,4,Lost
156,27888.13,2145.2407692307693,13,2025-06-25 22:50:00,2024-07-27 07:20:00,6,4,13,27888.13,333,83.75,0.0714,0.0,0.1429,0.3718,Medium,Delhi,42,5,2,3,10,Loyal
157,8994.61,1284.9442857142858,7,2025-06-14 15:49:00,2025-01-11 20:50:00,6,15,7,8994.61,153,58.79,0.0,0.0,0.1429,0.045,Premium,Pune,53,3,1,1,5,Lost
158,32554.32,1914.96,17,2025-06-14 09:02:00,2024-09-22 03:35:00,8,15,17,32554.32,265,122.85,0.0556,0.0,0.1667,0.13055,Medium,Chennai,40,3,3,3,9,At Risk
160,30960.79,1629.5152631578949,19,2025-06-08 11:26:00,2024-05-04 23:47:00,10,21,19,30960.79,399,77.6,0.1667,0.0417,0.0833,0.0703,Low,Hyderabad,21,3,3,3,9,At Risk
161,17905.91,1492.1591666666666,12,2025-04-10 08:48:00,2023-10-29 09:57:00,8,80,12,17905.91,528,33.91,0.0,0.0769,0.3077,0.3581,Medium,Hyderabad,51,1,2,2,5,Lost
162,16814.03,2101.75375,8,2025-06-21 18:22:00,2024-04-08 17:12:00,6,8,8,16814.03,439,38.3,0.0,0.0,0.0,0.1681,Low,Mumbai,59,4,1,1,6,Lost
163,46225.24,1359.5658823529411,34,2025-06-02 09:35:00,2023-03-09 15:43:00,10,27,34,46225.24,815,56.72,0.0286,0.0,0.3714,0.10423333333333334,High,Delhi,50,3,5,4,12,Loyal
164,84268.57,2277.5289189189193,37,2025-06-28 21:09:00,2024-06-09 17:10:00,9,1,37,84268.57,384,219.45,0.075,0.0,0.125,0.12063333333333333,Medium,Hyderabad,56,5,5,5,15,Champions
166,9218.18,838.0163636363636,11,2025-06-18 06:01:00,2024-12-23 01:19:00,5,11,11,9218.18,177,52.08,0.0,0.0,0.2727,0.0307,Medium,Chennai,27,4,2,1,7,At Risk
167,30095.920000000002,1308.5182608695652,23,2025-06-23 21:34:00,2023-11-16 22:19:00,8,6,23,30095.920000000002,584,51.53,0.0,0.0,0.2174,0.188,Medium,Hyderabad,63,5,4,3,12,Loyal
168,91806.68,2295.167,40,2025-06-04 12:01:00,2023-09-05 18:21:00,10,25,40,91806.68,637,144.12,0.0476,0.0,0.2381,0.13190000000000002,Low,Pune,33,3,5,5,13,Champions
169,36618.52,2441.2346666666663,15,2025-06-27 07:13:00,2024-05-21 18:19:00,7,2,15,36618.52,401,91.32,0.1176,0.0,0.2941,0.7324,Low,Pune,28,5,3,3,11,Loyal
170,15975.029999999999,1996.8787499999999,8,2025-06-10 07:56:00,2024-07-15 00:15:00,5,19,8,15975.029999999999,330,48.41,0.2727,0.0,0.0909,0.1598,High,Bangalore,49,3,1,1,5,Lost
171,30244.08,2160.2914285714287,14,2025-05-30 03:45:00,2023-08-20 03:37:00,7,30,14,30244.08,649,46.6,0.0667,0.0,0.3333,0.3024,Low,Kolkata,54,2,3,3,8,At Risk
172,11901.55,1487.69375,8,2025-04-27 09:06:00,2024-04-09 12:01:00,5,63,8,11901.55,382,31.16,0.0,0.0,0.375,0.119,Low,Pune,39,1,1,1,3,Lost
173,28712.670000000002,1688.9805882352941,17,2025-06-24 11:19:00,2024-07-12 00:30:00,8,5,17,28712.670000000002,347,82.75,0.15,0.0,0.35,0.10794999999999999,Premium,Bangalore,21,5,3,3,11,Loyal
175,16245.79,1160.4135714285715,14,2025-03-31 18:57:00,2023-09-22 18:40:00,9,90,14,16245.79,556,29.22,0.2727,0.0909,0.2273,0.148,High,Kolkata,65,1,3,1,5,Lost
176,56444.01,3527.750625,16,2025-05-23 23:54:00,2023-11-24 06:56:00,8,37,16,56444.01,546,103.38,0.0,0.0,0.1875,0.20165,Medium,Chandigarh,46,2,3,5,10,Loyal
177,30927.489999999998,1932.9681249999999,16,2025-06-27 22:28:00,2024-05-31 10:09:00,7,2,16,30927.489999999998,392,78.9,0.0,0.0,0.0625,0.15025,Premium,Bangalore,38,5,3,3,11,Loyal
178,19337.1,2148.5666666666666,9,2025-05-14 23:15:00,2024-05-16 11:12:00,6,46,9,19337.1,363,53.27,0.1,0.0,0.2,0.0645,Medium,Chennai,69,2,1,2,5,Lost
179,80761.77,3365.07375,24,2025-05-11 16:00:00,2024-02-09 08:14:00,9,49,24,80761.77,457,176.72,0.1111,0.0,0.2963,0.24014999999999997,High,Delhi,38,2,4,5,11,Loyal
