customer_id,income_band,city,age,total_spend,avg_ticket_size,txn_count,decline_rate,dispute_rate,late_night_ratio,avg_utilisation,spend_velocity,merchant_diversity,RFM_score,rfm_segment,rule_risk_score,anomaly_flag,final_risk_score,risk_tier
39,Low,Delhi,51,33570.71,2098.169375,16,0.0556,0.0556,0.3889,0.1299,42.6,9,9,At Risk,32,0,26.27,Low Risk
40,Medium,Delhi,37,66483.28,1955.390588235294,34,0.1053,0.0,0.2368,0.2061666666666666,174.5,10,12,Loyal,25,0,20.54,Low Risk
41,Medium,Bangalore,26,76347.84,4771.74,16,0.0526,0.1053,0.3684,0.3607499999999999,216.28,8,9,At Risk,45,1,56.44,Medium Risk
43,High,Hyderabad,55,17551.53,1950.17,9,0.0,0.0,0.2222,0.0878,46.43,7,5,Lost,20,0,13.23,Low Risk
44,High,Chennai,47,14951.16,1359.1963636363637,11,0.0833,0.0,0.0,0.1993,29.14,4,8,At Risk,0,0,14.62,Low Risk
45,Low,Hyderabad,21,10868.759999999998,1358.5949999999998,8,0.0,0.0,0.375,0.0543,17.91,6,5,Lost,30,0,23.81,Low Risk
50,Low,Hyderabad,61,6225.71,1556.4275,4,0.2,0.0,0.0,0.0415,12.92,4,3,Lost,25,1,35.14,Low Risk
51,Low,Bangalore,65,55074.53,2039.7974074074075,27,0.129,0.0,0.2581,0.0974,175.96,10,12,Loyal,25,0,22.95,Low Risk
52,High,Chennai,18,36931.13,2051.729444444444,18,0.0,0.0,0.2778,0.22195,82.99,8,11,Loyal,10,0,6.85,Low Risk
53,Medium,Kolkata,40,73674.67,1841.86675,40,0.0,0.0,0.325,0.2456,115.66,9,15,Champions,20,0,14.81,Low Risk
54,Medium,Chennai,33,42887.12,2522.771764705882,17,0.0,0.0,0.2353,0.1804,92.83,9,8,At Risk,10,0,7.79,Low Risk
55,Medium,Hyderabad,51,35603.39,3236.6718181818183,11,0.0,0.0,0.2727,0.0712,80.19,7,7,At Risk,15,0,16.49,Low Risk
56,Medium,Kolkata,74,21538.53,1656.81,13,0.0,0.0,0.4615,0.2872,36.26,8,6,Lost,25,0,20.91,Low Risk
57,High,Chennai,24,10510.85,1167.8722222222225,9,0.1,0.0,0.1,0.1401,25.7,5,7,At Risk,5,0,13.71,Low Risk
58,Low,Chandigarh,56,44378.14,2958.5426666666667,15,0.0,0.0625,0.1875,0.1752,58.55,7,11,Loyal,22,0,23.28,Low Risk
60,Low,Bangalore,44,30495.300000000003,2345.792307692308,13,0.0667,0.0667,0.2,0.1525,70.92,7,9,At Risk,22,0,20.7,Low Risk
61,Low,Bangalore,72,53518.07,1982.1507407407407,27,0.0357,0.0,0.2857,0.1003,150.76,9,10,Loyal,10,0,8.99,Low Risk
62,High,Pune,60,10864.51,1207.1677777777777,9,0.1818,0.0,0.2727,0.0362,22.82,7,6,Lost,30,0,29.29,Low Risk
63,High,Pune,23,53462.05,2227.585416666667,24,0.0741,0.037,0.1852,0.36555,85.81,10,10,Loyal,10,0,15.07,Low Risk
64,High,Pune,43,28407.57,1775.473125,16,0.0,0.0588,0.3529,0.1171,71.02,8,10,Loyal,32,0,25.59,Low Risk
65,Medium,Chandigarh,61,34626.5,2308.4333333333334,15,0.0625,0.0,0.5625,0.10205,102.75,7,10,Loyal,20,0,20.18,Low Risk
66,High,Delhi,24,56112.87,2158.187307692308,26,0.0345,0.069,0.3448,0.06165,84.63,10,11,Loyal,32,0,28.34,Low Risk
67,Low,Chandigarh,47,27306.9,2730.69,10,0.0,0.0,0.0,0.5461,39.63,7,7,At Risk,5,0,19.75,Low Risk
69,Medium,Bangalore,22,17377.33,2172.16625,8,0.0,0.0,0.25,0.0869,51.41,7,4,Lost,20,0,13.65,Low Risk
70,High,Bangalore,73,33321.21,2380.0864285714283,14,0.0,0.0,0.2143,0.0444,52.06,8,8,At Risk,10,0,8.21,Low Risk
71,Low,Pune,39,11334.32,1259.368888888889,9,0.1,0.0,0.1,0.1133,34.56,6,4,Lost,10,0,13.06,Low Risk
72,Low,Chandigarh,33,21853.89,2185.389,10,0.0,0.0,0.4,0.1457,31.04,8,9,At Risk,20,0,14.74,Low Risk
76,High,Chennai,60,24608.58,3515.5114285714285,7,0.0,0.0,0.1429,0.0492,59.3,5,6,Lost,5,0,15.31,Low Risk
80,Low,Kolkata,37,12144.63,1518.07875,8,0.0,0.0,0.5,0.2429,16.39,3,3,Lost,30,0,34.38,Low Risk
81,Low,Kolkata,41,73012.77,1921.3886842105264,38,0.0714,0.0238,0.0952,0.164275,209.21,10,15,Champions,0,0,14.07,Low Risk
82,Low,Kolkata,46,26136.0,2178.0,12,0.0,0.0,0.5,0.0998,89.2,7,7,At Risk,25,0,20.24,Low Risk
83,High,Hyderabad,70,34978.73,2690.6715384615386,13,0.1875,0.0,0.3125,0.05935,71.53,8,8,At Risk,35,0,30.58,Low Risk
84,Low,Mumbai,71,73057.11,1922.5555263157892,38,0.05,0.0,0.15,0.1493,90.53,10,14,Champions,0,0,2.51,Low Risk
85,High,Pune,34,59643.52,2711.069090909091,22,0.0,0.0,0.2727,0.1259,116.26,9,12,Loyal,10,0,9.67,Low Risk
86,Low,Kolkata,32,73605.09,2300.1590625,32,0.0588,0.0,0.2941,0.1367,106.52,10,14,Champions,10,0,8.58,Low Risk
87,Low,Kolkata,41,33061.43,1271.5934615384615,26,0.0,0.037,0.1481,0.1325,69.9,9,10,Loyal,0,0,8.27,Low Risk
88,Low,Bangalore,29,21878.85,2187.885,10,0.0,0.0,0.4,0.0292,31.44,7,5,Lost,30,0,22.91,Low Risk
89,Medium,Chennai,50,56227.39,2249.0956,25,0.0385,0.0,0.1923,0.0937,141.27,10,13,Champions,10,0,8.46,Low Risk
91,Medium,Delhi,45,68945.48,2154.54625,32,0.0,0.0,0.2188,0.1215333333333333,280.27,9,14,Champions,10,0,19.62,Low Risk
93,Medium,Mumbai,67,817.56,408.78,2,0.0,0.3333,0.3333,0.0041,58.4,2,3,Lost,55,1,67.34,Medium Risk
94,Low,Kolkata,26,29328.86,2256.066153846154,13,0.0,0.0,0.3846,0.1955,44.1,6,8,At Risk,20,0,15.61,Low Risk
95,Medium,Chennai,62,46222.53,2432.7647368421053,19,0.0476,0.0476,0.1905,0.15405,118.22,10,11,Loyal,10,0,11.55,Low Risk
97,Low,Hyderabad,63,43156.63,1726.2651999999998,25,0.0,0.0,0.2,0.0875,88.44,10,11,Loyal,10,0,7.95,Low Risk
98,Medium,Mumbai,51,42995.9,1719.836,25,0.1034,0.0345,0.3793,0.28665,127.58,9,12,Loyal,35,0,30.06,Low Risk
99,Medium,Bangalore,62,27088.2,2083.7076923076925,13,0.1333,0.0,0.1333,0.2332,39.6,8,7,At Risk,20,0,17.98,Low Risk
102,High,Hyderabad,41,41708.13,1737.83875,24,0.0,0.0,0.375,0.2262,139.49,9,12,Loyal,20,0,15.96,Low Risk
103,Medium,Bangalore,69,20680.49,2585.06125,8,0.0,0.0,0.25,0.1379,36.09,5,5,Lost,20,0,17.43,Low Risk
104,Low,Pune,34,50387.09,1937.965,26,0.0,0.037,0.2593,0.3145,66.39,9,11,Loyal,10,0,11.55,Low Risk
105,High,Bangalore,59,27329.26,1607.6035294117646,17,0.0,0.0,0.3529,0.09955,48.03,7,10,Loyal,20,0,14.04,Low Risk
106,Premium,Kolkata,37,50675.7,1876.877777777778,27,0.069,0.0,0.1724,0.1329,131.63,10,11,Loyal,10,0,9.75,Low Risk
107,Low,Chennai,63,99202.49,3420.775517241379,29,0.0323,0.0323,0.2258,0.3111,290.92,9,15,Champions,10,1,28.24,Low Risk
108,Medium,Bangalore,66,9562.03,956.203,10,0.0909,0.0,0.2727,0.0956,18.32,5,5,Lost,20,0,20.54,Low Risk
110,Medium,Chandigarh,54,82177.08,2490.2145454545457,33,0.0571,0.0,0.1714,0.2320666666666666,204.42,9,12,Loyal,10,0,13.12,Low Risk
113,Premium,Bangalore,34,36014.31,2770.3315384615385,13,0.0,0.0,0.2308,0.072,57.81,7,7,At Risk,15,0,12.56,Low Risk
114,Low,Pune,53,9364.52,2341.13,4,0.3333,0.2222,0.3333,0.0312,56.75,3,5,Lost,85,1,83.64,High Risk
115,High,Mumbai,65,37024.46,1763.0695238095238,21,0.087,0.0,0.2174,0.04635,149.29,9,12,Loyal,10,0,11.56,Low Risk
116,Low,Hyderabad,38,4816.84,802.8066666666667,6,0.0,0.0,0.6667,0.0161,17.02,4,3,Lost,30,1,38.76,Low Risk
117,Medium,Chandigarh,37,23684.730000000003,2960.5912500000004,8,0.1111,0.0,0.4444,0.0237,43.06,5,4,Lost,45,0,40.6,Medium Risk
119,Medium,Delhi,61,17390.0,2173.75,8,0.0,0.0,0.625,0.1159,63.24,4,4,Lost,30,0,31.02,Low Risk
120,Low,Chennai,60,21919.23,1826.6025,12,0.0769,0.0,0.1538,0.0438,38.8,6,5,Lost,20,0,16.17,Low Risk
121,Low,Chandigarh,52,52737.39,1818.5306896551724,29,0.0882,0.0588,0.2353,0.1627666666666666,104.22,10,13,Champions,22,0,20.05,Low Risk
122,Medium,Bangalore,23,14693.510000000002,2099.0728571428576,7,0.3333,0.0833,0.1667,0.1469,27.21,7,6,Lost,57,1,53.82,Medium Risk
123,High,Chandigarh,26,21680.79,2710.09875,8,0.2,0.0,0.1,0.1445,86.38,7,5,Lost,25,0,28.64,Low Risk
124,Low,Pune,21,30426.66,2340.512307692308,13,0.0,0.0,0.0769,0.3043,93.62,8,10,Loyal,0,0,5.78,Low Risk
125,Low,Bangalore,36,35587.67,2093.3923529411763,17,0.0,0.0,0.2353,0.13895,68.83,8,10,Loyal,10,0,6.53,Low Risk
126,Premium,Pune,19,37586.53,1503.4612,25,0.0385,0.0,0.0769,0.18795,45.78,9,12,Loyal,0,0,6.54,Low Risk
128,High,Mumbai,19,42631.55,2131.5775000000003,20,0.0476,0.0,0.0952,0.1421,79.69,8,11,Loyal,0,0,3.54,Low Risk
129,Medium,Chennai,75,49656.18,2364.58,21,0.087,0.0,0.2174,0.1555,75.81,9,13,Champions,10,0,7.76,Low Risk
131,Premium,Hyderabad,18,15045.91,1880.73875,8,0.0,0.0,0.125,0.0502,62.95,4,3,Lost,10,0,13.41,Low Risk
133,Low,Pune,28,74795.5,2077.652777777778,36,0.0976,0.0244,0.2439,0.137775,193.27,10,13,Champions,10,0,15.28,Low Risk
134,Medium,Pune,57,82229.81999999999,2418.5241176470586,34,0.0278,0.0278,0.2222,0.46555,130.32,10,11,Loyal,10,0,17.94,Low Risk
135,Medium,Hyderabad,62,34844.82,1935.8233333333333,18,0.0526,0.0,0.3158,0.0991,79.37,8,9,At Risk,20,0,12.7,Low Risk
137,Low,Mumbai,60,27451.68,2745.168,10,0.0,0.0,0.4,0.0275,45.45,6,10,Loyal,20,0,19.41,Low Risk
138,Medium,Mumbai,23,77439.84,1647.6561702127658,47,0.0208,0.0,0.25,0.0965999999999999,136.34,10,13,Champions,10,0,9.32,Low Risk
140,Premium,Kolkata,18,34013.52,1360.5407999999998,25,0.1071,0.0,0.2857,0.1158333333333333,95.01,9,11,Loyal,25,0,20.2,Low Risk
142,Medium,Delhi,20,29559.51,2463.2925,12,0.0714,0.0714,0.1429,0.3941,45.41,6,7,At Risk,17,0,23.32,Low Risk
143,High,Chandigarh,63,78607.55,2710.6051724137933,29,0.0,0.0,0.1724,0.1325,127.4,10,14,Champions,10,0,11.12,Low Risk
146,Medium,Chandigarh,52,30071.59,1768.9170588235295,17,0.0,0.0,0.2941,0.08295,62.78,9,11,Loyal,10,0,7.48,Low Risk
147,Low,Hyderabad,20,45885.71,1995.0308695652168,23,0.0,0.0,0.2174,0.10075,116.46,9,11,Loyal,10,0,7.69,Low Risk
148,Medium,Delhi,38,42891.04,1429.7013333333334,30,0.0625,0.0,0.0938,0.1766666666666666,107.23,10,13,Champions,0,0,8.68,Low Risk
151,Medium,Delhi,72,28936.29,2411.3575,12,0.0769,0.0,0.2308,0.5787,59.17,7,7,At Risk,15,0,19.87,Low Risk
152,Premium,Delhi,72,50964.45,1498.9544117647058,34,0.0278,0.0278,0.25,0.0890666666666666,91.17,10,14,Champions,10,0,13.13,Low Risk
155,Premium,Chandigarh,34,22897.39,2544.1544444444444,9,0.0,0.0,0.4444,0.3053,59.78,6,4,Lost,30,0,24.19,Low Risk
156,Medium,Delhi,42,27888.13,2145.2407692307693,13,0.0714,0.0,0.1429,0.3718,83.75,6,10,Loyal,0,0,7.34,Low Risk
157,Premium,Pune,53,8994.61,1284.9442857142858,7,0.0,0.0,0.1429,0.045,58.79,6,5,Lost,10,0,11.83,Low Risk
158,Medium,Chennai,40,32554.32,1914.96,17,0.0556,0.0,0.1667,0.13055,122.85,8,9,At Risk,10,0,8.77,Low Risk
160,Low,Hyderabad,21,30960.79,1629.5152631578949,19,0.1667,0.0417,0.0833,0.0703,77.6,10,9,At Risk,15,0,24.01,Low Risk
161,Medium,Hyderabad,51,17905.91,1492.1591666666666,12,0.0,0.0769,0.3077,0.3581,33.91,8,5,Lost,42,0,37.26,Low Risk
162,Low,Mumbai,59,16814.03,2101.75375,8,0.0,0.0,0.0,0.1681,38.3,6,6,Lost,5,0,10.88,Low Risk
163,High,Delhi,50,46225.24,1359.5658823529411,34,0.0286,0.0,0.3714,0.1042333333333333,56.72,10,12,Loyal,20,0,17.27,Low Risk
164,Medium,Hyderabad,56,84268.57,2277.5289189189198,37,0.075,0.0,0.125,0.1206333333333333,219.45,9,15,Champions,0,0,10.12,Low Risk
166,Medium,Chennai,27,9218.18,838.0163636363636,11,0.0,0.0,0.2727,0.0307,52.08,5,7,At Risk,15,0,19.47,Low Risk
167,Medium,Hyderabad,63,30095.92,1308.5182608695652,23,0.0,0.0,0.2174,0.188,51.53,8,12,Loyal,10,0,9.33,Low Risk
168,Low,Pune,33,91806.68,2295.167,40,0.0476,0.0,0.2381,0.1319,144.12,10,13,Champions,10,0,8.39,Low Risk
169,Low,Pune,28,36618.52,2441.2346666666663,15,0.1176,0.0,0.2941,0.7324,91.32,7,11,Loyal,33,0,34.62,Low Risk
170,High,Bangalore,49,15975.03,1996.87875,8,0.2727,0.0,0.0909,0.1598,48.41,5,5,Lost,40,0,41.18,Medium Risk
171,Low,Kolkata,54,30244.08,2160.2914285714287,14,0.0667,0.0,0.3333,0.3024,46.6,7,8,At Risk,20,0,16.35,Low Risk
172,Low,Pune,39,11901.55,1487.69375,8,0.0,0.0,0.375,0.119,31.16,5,3,Lost,30,0,23.51,Low Risk
173,Premium,Bangalore,21,28712.67,1688.980588235294,17,0.15,0.0,0.35,0.1079499999999999,82.75,8,11,Loyal,35,0,26.01,Low Risk
175,High,Kolkata,65,16245.79,1160.4135714285717,14,0.2727,0.0909,0.2273,0.148,29.22,9,5,Lost,62,1,59.27,Medium Risk
176,Medium,Chandigarh,46,56444.01,3527.750625,16,0.0,0.0,0.1875,0.20165,103.38,8,10,Loyal,10,0,14.32,Low Risk
177,Premium,Bangalore,38,30927.49,1932.968125,16,0.0,0.0,0.0625,0.15025,78.9,7,11,Loyal,0,0,4.35,Low Risk
178,Medium,Chennai,69,19337.1,2148.5666666666666,9,0.1,0.0,0.2,0.0645,53.27,6,5,Lost,20,0,16.12,Low Risk
179,High,Delhi,38,80761.77,3365.07375,24,0.1111,0.0,0.2963,0.2401499999999999,176.72,9,11,Loyal,25,0,26.98,Low Risk
180,Premium,Pune,29,36736.23,2296.014375,16,0.0,0.0,0.5,0.2449,101.2,6,8,At Risk,20,0,17.98,Low Risk
181,Low,Hyderabad,32,45421.11,1816.8444,25,0.0,0.0,0.24,0.0973,164.57,10,11,Loyal,10,0,10.98,Low Risk
184,High,Hyderabad,36,57820.22,1752.127878787879,33,0.0556,0.0278,0.3333,0.17,204.31,10,15,Champions,20,0,23.3,Low Risk
185,Medium,Hyderabad,29,29029.28,3628.66,8,0.0,0.1111,0.1111,0.5806,110.38,7,5,Lost,35,1,47.61,Medium Risk
186,High,Chandigarh,72,20721.43,2590.17875,8,0.0,0.0,0.5,0.0691,44.18,6,6,Lost,25,0,22.2,Low Risk
187,Low,Hyderabad,23,12854.45,2142.4083333333333,6,0.3333,0.1667,0.0833,0.0857,36.62,5,3,Lost,65,1,65.76,Medium Risk
188,Low,Bangalore,49,16567.48,1506.134545454545,11,0.0,0.0,0.0,0.1104,50.82,7,4,Lost,10,0,13.92,Low Risk
189,Low,Chandigarh,28,18076.0,2259.5,8,0.0,0.0,0.375,0.0603,40.17,5,4,Lost,30,0,23.43,Low Risk
190,Low,Hyderabad,55,22863.11,2286.311,10,0.0,0.0,0.3,0.1524,63.69,6,7,At Risk,15,0,11.19,Low Risk
192,Medium,Mumbai,22,31489.54,1968.09625,16,0.1818,0.0909,0.1818,0.1287,116.63,7,11,Loyal,37,0,36.38,Low Risk
193,Low,Bangalore,27,19753.16,2194.7955555555554,9,0.1,0.0,0.1,0.0395,36.18,6,8,At Risk,0,0,8.06,Low Risk
195,Medium,Chandigarh,26,71045.57,2960.232083333334,24,0.0769,0.0,0.1923,0.2595,124.86,10,14,Champions,10,0,13.14,Low Risk
196,High,Chandigarh,51,4023.32,804.664,5,0.1667,0.0,0.1667,0.008,12.12,5,3,Lost,35,0,37.96,Low Risk
197,Premium,Delhi,64,40095.49,1822.5222727272728,22,0.0435,0.0,0.3043,0.1315,75.37,10,11,Loyal,20,0,13.47,Low Risk
198,Low,Chandigarh,34,81923.08,2642.68,31,0.0312,0.0,0.2812,0.2963666666666666,217.88,10,13,Champions,10,0,14.56,Low Risk
200,Medium,Kolkata,60,38161.88,1590.0783333333331,24,0.0,0.04,0.2,0.0612,114.6,9,9,At Risk,10,0,13.08,Low Risk
202,Medium,Mumbai,45,49472.32,2603.806315789473,19,0.0476,0.0476,0.1905,0.2297,135.54,9,12,Loyal,10,0,12.81,Low Risk
203,Low,Delhi,50,55451.06,3261.827058823529,17,0.1053,0.0,0.2632,0.2773,164.06,10,9,At Risk,25,0,26.59,Low Risk
207,Low,Hyderabad,50,90653.23,2324.441794871794,39,0.025,0.0,0.175,0.2280333333333333,210.82,10,15,Champions,10,0,12.76,Low Risk
208,Medium,Bangalore,57,46920.25,2040.0108695652173,23,0.0,0.0,0.087,0.17965,110.4,9,10,Loyal,0,0,4.55,Low Risk
210,Premium,Chennai,23,90515.89,2207.704634146341,41,0.0,0.0238,0.119,0.1404666666666666,167.31,10,14,Champions,0,0,10.69,Low Risk
212,High,Pune,47,11074.58,1845.763333333333,6,0.1429,0.0,0.0,0.0738,38.86,5,3,Lost,25,0,26.89,Low Risk
214,Premium,Chandigarh,69,14632.41,2926.482,5,0.0,0.0,0.2,0.0975,47.2,3,3,Lost,20,0,25.34,Low Risk
215,Low,Bangalore,51,51913.97,1854.070357142857,28,0.1471,0.0294,0.2059,0.1083,97.4,10,12,Loyal,25,0,23.98,Low Risk
216,Medium,Hyderabad,31,5581.57,797.3671428571428,7,0.1,0.2,0.4,0.0744,11.98,5,5,Lost,55,1,60.84,Medium Risk
217,Low,Pune,67,51296.11,1654.7132258064516,31,0.0857,0.0286,0.1714,0.0916333333333333,83.27,10,10,Loyal,10,0,12.72,Low Risk
219,Low,Mumbai,20,68942.9,1767.7666666666664,39,0.0488,0.0,0.2439,0.0694666666666666,103.36,10,14,Champions,10,0,8.28,Low Risk
222,High,Bangalore,31,66966.83,1762.285,38,0.0256,0.0,0.3846,0.097425,165.76,10,15,Champions,20,0,18.47,Low Risk
223,High,Mumbai,24,40020.39,2001.0195,20,0.0476,0.0,0.2381,0.0667,78.78,10,13,Champions,10,0,7.48,Low Risk
224,Premium,Chennai,22,37377.57,3737.757,10,0.2308,0.0,0.2308,0.1246,84.37,7,7,At Risk,45,0,40.72,Medium Risk
226,High,Chandigarh,62,25853.99,1846.713571428572,14,0.125,0.0,0.1875,0.1316,40.15,9,7,At Risk,30,0,22.07,Low Risk
227,Low,Chandigarh,70,43526.32,1674.0892307692309,26,0.0,0.0,0.0769,0.1798,76.09,10,10,Loyal,0,0,6.25,Low Risk
228,Low,Bangalore,73,17528.28,1252.02,14,0.0,0.0,0.1429,0.07625,29.02,7,8,At Risk,0,0,4.95,Low Risk
229,High,Pune,47,12880.62,1431.18,9,0.1,0.0,0.3,0.2576,42.23,6,4,Lost,20,0,17.28,Low Risk
232,High,Pune,70,31079.62,1635.7694736842104,19,0.0,0.0,0.3158,0.19395,57.66,8,11,Loyal,20,0,13.12,Low Risk
233,Medium,Chandigarh,41,44676.68,5584.585,8,0.0,0.0,0.375,0.0894,126.92,6,7,At Risk,25,1,36.4,Low Risk
234,Medium,Hyderabad,30,15889.89,2269.9842857142858,7,0.0,0.0,0.0,0.3178,46.73,5,3,Lost,10,0,18.23,Low Risk
236,High,Bangalore,38,61465.23,1707.3675,36,0.027,0.0,0.2432,0.0675666666666666,195.75,10,15,Champions,10,0,12.91,Low Risk
239,Medium,Mumbai,27,27416.89,2284.7408333333333,12,0.0769,0.0,0.3846,0.2742,43.8,7,6,Lost,25,0,19.87,Low Risk
240,High,Chandigarh,35,11085.01,1583.5728571428572,7,0.1111,0.1111,0.3333,0.1109,14.3,4,4,Lost,70,1,62.22,Medium Risk
241,High,Chennai,30,21499.9,1791.6583333333335,12,0.0769,0.0,0.1538,0.1433,56.14,7,5,Lost,20,0,14.02,Low Risk
243,Low,Kolkata,24,53985.39,2159.4156,25,0.0,0.0,0.44,0.2699,70.29,10,9,At Risk,20,0,16.96,Low Risk
245,Medium,Chandigarh,37,63294.44,2041.756129032258,31,0.0606,0.0,0.1818,0.1186999999999999,96.93,10,15,Champions,10,0,7.89,Low Risk
247,Premium,Bangalore,61,64982.52,2599.3008,25,0.0357,0.0714,0.1429,0.0983,199.95,9,13,Champions,12,0,20.88,Low Risk
248,Premium,Pune,72,13997.84,1749.73,8,0.1111,0.0,0.2222,0.07,55.77,6,7,At Risk,30,0,21.87,Low Risk
249,Medium,Delhi,52,22145.32,2460.591111111111,9,0.0,0.0,0.3333,0.2215,65.71,7,4,Lost,30,0,20.25,Low Risk
250,Premium,Chandigarh,31,35422.21,1686.7719047619048,21,0.087,0.0,0.2609,0.11475,54.16,10,12,Loyal,10,0,8.96,Low Risk
251,Low,Chandigarh,56,41620.15,1734.1729166666669,24,0.04,0.0,0.28,0.3613,161.32,10,11,Loyal,10,0,12.99,Low Risk
252,Low,Hyderabad,58,22684.85,2520.538888888889,9,0.0,0.0,0.2222,0.0756,70.23,8,7,At Risk,15,0,11.2,Low Risk
253,Medium,Kolkata,22,43480.23,1672.3165384615384,26,0.0714,0.0,0.2857,0.0966333333333333,85.76,9,12,Loyal,10,0,8.29,Low Risk
254,Medium,Chennai,71,8494.050000000001,1213.4357142857143,7,0.0,0.0,0.4286,0.0283,36.46,5,5,Lost,30,0,26.7,Low Risk
255,High,Hyderabad,47,9938.99,2484.7475,4,0.125,0.375,0.125,0.0331,19.22,3,3,Lost,50,1,61.73,Medium Risk
257,Medium,Pune,20,14158.02,1769.7525,8,0.0,0.0,0.125,0.0708,80.9,6,6,Lost,5,0,6.86,Low Risk
258,Medium,Kolkata,72,34449.54,2026.4435294117648,17,0.0,0.1053,0.3158,0.06575,75.88,9,11,Loyal,45,0,39.15,Low Risk
261,Medium,Delhi,48,16322.87,2720.478333333333,6,0.0,0.1429,0.0,0.0544,61.83,5,7,At Risk,30,1,41.13,Medium Risk
263,Medium,Kolkata,44,19168.35,1277.89,15,0.0,0.0,0.2,0.0639,30.04,7,8,At Risk,10,0,10.21,Low Risk
